"sender","receiver","year","count"
"HU11","UKJ1","2020","2"
"UKJ1","UKH1","2019","46"
"FRF1","FRJ2","2016","2"
"UKJ2","UKJ1","2013","5"
"UKH1","GB","2018","11"
"ITI1","ITH5","2001","3"
"MY","UKM7","2017","5"
"DZ","FRL0","2008","1"
"BR","FR10","2020","35"
"NL33","NL32","1996","2"
"UKK1","FRK2","2014","3"
"UKJ4","UKI5","2018","13"
"PL21","PL82","2016","5"
"NL31","NL32","2016","11"
"UKJ1","NL32","2014","3"
"FR10","CN","2018","34"
"ITI4","ITC4","1999","1"
"FRK2","FR10","2002","3"
"UKD3","MY","2015","4"
"FI1C","SE11","2018","1"
"DE25","DE11","2016","2"
"ES52","SG","2020","1"
"FRK2","FR10","2018","40"
"PE","DE30","2021","1"
"KR","UKG1","2017","1"
"CA","CH01","2005","2"
"UKE2","ZA","2002","1"
"UKL1","UKL2","2010","2"
"FR10","ES11","2006","2"
"FI1B","FI1D","2021","16"
"CA","DE21","2016","5"
"FRJ1","FR10","2010","7"
"FRJ2","FR10","2021","9"
"ZA","UKM7","1998","1"
"DEA1","DE21","2015","1"
"UKJ3","UKI5","2020","23"
"UKC1","UKJ1","2018","11"
"US","CL","2004","3"
"BR","FRL0","2018","9"
"FI19","FI1B","2020","30"
"IE06","DE12","2014","1"
"AU","UKK4","2016","3"
"FR10","ES61","2020","6"
"DK01","DK04","2015","6"
"ES52","ES51","1984","2"
"PT18","PT16","2007","5"
"UKH3","NG","2015","1"
"JP","VN","2008","1"
"FRE1","FRI1","2015","2"
"UKJ2","CH01","2012","1"
"BE33","ITI1","2020","1"
"DED4","DED2","2011","6"
"UKC2","UKK1","2020","2"
"FRJ1","DK01","2013","1"
"RU","SK03","2016","1"
"BR","DE21","2017","6"
"DE91","DE60","1990","2"
"KR","DE11","2019","3"
"CO","ES24","2013","2"
"FI1D","FI19","2016","4"
"UKC1","LY","2012","1"
"DE71","CH","2020","1"
"SE22","SE11","2016","13"
"FR10","BR","2016","24"
"DE12","CN","2019","10"
"UKM7","UKM8","2015","13"
"DE60","CA","2021","2"
"IN","NO06","2016","4"
"ES30","ES11","1993","5"
"DE60","RO41","2005","1"
"MX","DE","2017","2"
"US","FR10","1997","3"
"UKC1","UKJ1","2020","10"
"DE71","DE24","2017","2"
"CN","FRC2","2014","1"
"US","DE26","2017","2"
"CH01","UKJ1","2021","6"
"DE50","KR","2006","1"
"CH01","AU","2014","1"
"ES30","AU","2019","2"
"BR","LV00","2020","1"
"IN","DEA5","2009","1"
"UKG1","UKH1","2021","4"
"CY00","TR","2020","32"
"FI1D","FI19","2018","12"
"US","FR10","2021","28"
"DE","FRI1","2005","1"
"FRL0","FR","2013","3"
"HU11","US","2008","3"
"PT11","PT30","2020","6"
"UKH1","UKI5","1986","4"
"BR","DE40","2017","4"
"UKE4","DE21","2020","2"
"ES11","ES51","2015","8"
"ES51","US","2014","24"
"DEA4","LU00","2020","3"
"DE21","AU","2017","7"
"UKG1","UKJ1","2015","14"
"AR","ES51","2010","3"
"UKF1","PT11","2002","1"
"ES42","ES23","2021","2"
"UKI5","UKJ1","1974","2"
"US","FR10","1999","8"
"FR10","FRC1","2013","6"
"CH01","DEF0","2016","1"
"UKI5","GH","2012","10"
"UKI5","ES42","2020","1"
"GB","UKN0","2015","2"
"UKJ1","FI1C","2020","1"
"CO","MX","2020","4"
"PT16","FRF3","2019","1"
"UKI5","UA","2018","3"
"CH03","IE06","2018","1"
"UKD6","UKG1","2017","3"
"FR10","CO","2020","6"
"AU","SG","2016","2"
"IR","DEE0","2019","3"
"BE10","FR10","2018","10"
"DE13","DEA1","2006","1"
"FR10","BE23","2019","6"
"UKF1","UKC1","2018","1"
"ES62","RU","2019","1"
"IE05","IE06","2014","10"
"ES53","DE40","2016","1"
"ES51","US","2012","9"
"PT16","PT18","2020","17"
"DE30","CL","2018","2"
"ES51","ES30","2019","68"
"CA","CH05","2018","1"
"FRK2","BE33","2014","3"
"SE33","BE21","2020","1"
"FI1B","FI1D","2018","15"
"BE24","ID","2019","1"
"IN","BE24","2020","9"
"DE11","UKI5","2014","1"
"PT11","FR","2019","2"
"BE33","BE10","2002","4"
"NL21","NL31","2019","10"
"ES43","MX","1994","1"
"FRK2","MA","2009","2"
"UKF1","US","2012","5"
"UKD7","UKD3","2015","12"
"AR","ES30","2002","5"
"EL30","CY00","2016","6"
"FRI1","ES21","2021","3"
"UKH1","UKI5","2016","53"
"DE21","DEA5","2021","2"
"NL33","NL32","2009","7"
"DE30","DE27","2021","1"
"DK01","DK","1989","1"
"US","DE21","2016","25"
"CN","DEA2","2017","14"
"ITF1","ITI4","2020","4"
"UKH2","US","2003","1"
"DE21","DE13","2021","4"
"ES24","ES51","2018","11"
"DE13","DEA2","2007","1"
"BG42","AL","2017","1"
"ES51","ES52","2016","23"
"NL32","DE30","2016","2"
"UKC2","UKM7","2002","1"
"ES51","CL","2015","16"
"UKK2","NZ","2018","4"
"US","DED2","2014","1"
"PL91","PL21","2011","7"
"ES30","ES12","2012","4"
"FRC2","UZ","2017","1"
"BE31","BE33","2011","1"
"US","UKH1","2017","57"
"TH","CZ06","2000","1"
"US","DK01","2016","16"
"PT16","ES30","2019","11"
"UKM5","UKH2","2009","1"
"SE21","DE13","2015","2"
"US","PT11","2019","15"
"US","UKE3","2014","4"
"ITH4","DEB3","2005","1"
"PT","PT16","2018","17"
"SE22","UKI5","2002","1"
"DE24","UKI5","1996","1"
"EL30","SG","2021","1"
"UKF1","UKC2","2001","1"
"ITC4","ITI1","2021","9"
"ES30","ES11","2016","13"
"IN","QA","2019","1"
"AU","DE30","2017","6"
"FRJ1","BR","2017","4"
"US","DE71","2020","13"
"ITH3","ITI4","2006","2"
"BE10","SE22","2019","1"
"DE92","UKJ1","2015","1"
"UKG1","NO08","2017","1"
"UKG3","UKF1","2000","1"
"DK01","DE30","2019","6"
"DK01","DK02","2015","10"
"DE11","CN","2018","7"
"US","IE06","2016","23"
"DE11","IL","2017","1"
"DK01","UA","2019","1"
"BR","NL41","2018","6"
"ITC4","ITI4","2005","1"
"UKJ3","UKI5","2002","2"
"ES61","ES30","2011","26"
"RU","ES51","2017","3"
"SE12","US","2001","4"
"DO","ES30","2012","3"
"NC","FRH0","2021","1"
"PL91","PL61","2013","9"
"FI1B","FI1C","2017","10"
"ITH3","ITC4","2017","11"
"FR10","TN","2018","2"
"NZ","UKJ1","2016","2"
"PL21","DE12","2013","1"
"ITI4","IT","2020","9"
"ZA","DE","2020","2"
"FRJ2","AU","2013","4"
"IL","PT16","2021","1"
"FRI2","FI1C","2018","1"
"BR","PT16","2015","157"
"ES21","CO","2016","5"
"UKC1","DE92","2019","1"
"MX","ES51","2000","6"
"ITC4","AE","2019","2"
"UKI5","FRK2","2018","3"
"DEA1","ES30","2017","1"
"FR10","US","2020","80"
"NL31","CN","2018","4"
"NO09","NO08","2015","6"
"BA","UKI5","2011","1"
"NL11","NL21","2020","5"
"UKD3","UKI5","2008","5"
"DE30","DED4","2018","3"
"UKJ1","UKI5","2003","11"
"UKG3","SA","2018","4"
"UKI5","BR","2018","18"
"ITC1","IN","2019","1"
"UKE2","UKE4","2019","14"
"DK03","DK","2023","18"
"EC","ES61","2019","12"
"IE05","HK","2018","1"
"PL81","JP","2010","1"
"UKC1","AU","1996","1"
"CN","MO","2019","3"
"FR10","BF","2016","1"
"UKI5","BR","2014","8"
"ITF4","ITF3","2017","2"
"UKK2","UKH2","2016","2"
"UKI5","US","2012","32"
"DE","AU","2014","2"
"ITF4","US","2021","1"
"NL21","NL22","2000","2"
"ES","ES41","2020","6"
"IR","ES21","2019","2"
"DED2","ZA","2021","1"
"NO0A","ITC1","2021","1"
"DK01","DK","2020","25"
"PT16","BR","2015","55"
"NO06","DEA3","2020","2"
"NL41","NL33","2021","8"
"DE12","DEB3","2019","12"
"TR","US","2017","4"
"ES51","SE22","2020","5"
"CN","CH04","2016","4"
"PT11","PT16","2019","174"
"ES41","CL","2013","6"
"AE","UKD3","2014","4"
"ITH5","ITI1","2020","10"
"SE11","SK01","2012","1"
"MX","ES61","2010","7"
"ITF3","ITF2","2019","1"
"UKI5","IL","2018","4"
"NL","UKM5","2015","1"
"CR","DE91","1996","1"
"MX","NO06","2019","1"
"SA","CN","2019","2"
"ITC1","IT","2010","3"
"ES61","ES21","2019","12"
"UKM7","UKE3","2018","3"
"ITC4","ITH5","2015","11"
"NL22","KR","2019","1"
"JP","UKH1","2013","3"
"SE21","SE","2005","1"
"AR","UKJ1","2018","2"
"DEE0","DE14","2017","1"
"HU23","CA","2019","1"
"ES22","US","2020","3"
"EC","ES30","2017","19"
"UKI5","MY","2016","16"
"ITG2","ITF3","2020","1"
"US","ES21","2020","10"
