sender;receiver;dist
EE;DK;1023698.167
EL;DK;2094535.961
ES;DK;1993709.433
FI;DK;1281619.413
FR;DK;1167040.058
HR;DK;1328536.168
HU;DK;1214074.94
IE;DK;1168281.191
IS;DK;1790483.498
IT;DK;1422231.515
LT;DK;917145.2198
LU;DK;743155.8895
LV;DK;954598.0451
MT;DK;2286650.036
SE;DK;797395.2258
SI;DK;1178221.181
SK;DK;1074140.599
UK;DK;798383.7884
NL;DK;496635.0487
PL;DK;794476.7958
PT;DK;2231468.314
RO;DK;1580242.365
AT;DK;1006721.88
BE;DK;688640.3086
BG;DK;1873170.329
CH;DK;1044768.276
CY;DK;2961666.471
CZ;DK;819387.5589
DE;DK;574961.1541
NO;DK;886452.4264
DK;EE;1023698.167
EL;EE;2146671.328
ES;EE;2898089.803
FI;EE;620457.4578
FR;EE;2052736.315
HR;EE;1639300.676
HU;EE;1347429.068
IE;EE;2176908.891
IS;EE;2381218.166
IT;EE;1923374.408
LT;EE;387631.3735
LU;EE;1610041.918
LV;EE;208784.7832
MT;EE;2664725.332
SE;EE;669000.3763
SI;EE;1575628.852
SK;EE;1181192.557
UK;EE;1818061.365
NL;EE;1452603.941
PL;EE;832296.0001
PT;EE;3184338.682
RO;EE;1427694.468
AT;EE;1454404.019
BE;EE;1618052.216
BG;EE;1768485.55
CH;EE;1764079.005
CY;EE;2677970.966
CZ;EE;1200638.664
DE;EE;1299232.446
NO;EE;936210.3014
DK;EL;2094535.961
EE;EL;2146671.328
ES;EL;2221719.578
FI;EL;2763864.679
FR;EL;1804074.936
HR;EL;802251.1109
HU;EL;893908.0212
IE;EL;2775408.535
IS;EL;3861294.895
IT;EL;965129.764
LT;EL;1766698.468
LU;EL;1728242.117
LV;EL;1940485.95
MT;EL;816631.3784
SE;EL;2586559.546
SI;EL;972336.2947
SK;EL;1057061.961
UK;EL;2460026.293
NL;EL;1927375.161
PL;EL;1427199.668
PT;EL;2604598.441
RO;EL;734593.8427
AT;EL;1131099.026
BE;EL;1865989.752
BG;EL;429666.1102
CH;EL;1417583.486
CY;EL;1064893.397
CZ;EL;1275479.645
DE;EL;1597012.869
NO;EL;2812076.344
DK;ES;1993709.433
EE;ES;2898089.803
EL;ES;2221719.578
FI;ES;3271973.754
FR;ES;846262.3199
HR;ES;1709463.813
HU;ES;1983241.109
IE;ES;1469249.467
IS;ES;2900949.795
IT;ES;1355487.251
LT;ES;2613785.392
LU;ES;1291098.229
LV;ES;2746439.576
MT;ES;1647460.053
SE;ES;2786826.194
SI;ES;1617740.69
SK;ES;2038216.795
UK;ES;1490496.674
NL;ES;1497792.883
PL;ES;2182911.222
PT;ES;383855.613
RO;ES;2382579.887
AT;ES;1620467.546
BE;ES;1308951.467
BG;ES;2400205.659
CH;ES;1186499.734
CY;ES;3267835.753
CZ;ES;1807905.911
DE;ES;1600838.843
NO;ES;2823934.468
DK;FI;1281619.413
EE;FI;620457.4578
EL;FI;2763864.679
ES;FI;3271973.754
FR;FI;2434819.313
HR;FI;2213436.885
HU;FI;1941096.018
IE;FI;2285114.072
IS;FI;2088607.641
IT;FI;2462537.336
LT;FI;997579.0816
LU;FI;1994519.608
LV;FI;823713.7891
MT;FI;3247282.5
SE;FI;529644.5338
SI;FI;2128197.2
SK;FI;1770695.676
UK;FI;1981380.329
NL;FI;1774801.47
PL;FI;1401432.694
PT;FI;3511878.385
RO;FI;2047972.911
AT;FI;1987949.529
BE;FI;1963096.812
BG;FI;2388922.143
CH;FI;2224381.297
CY;FI;3278402.931
CZ;FI;1732370.887
DE;FI;1730721.32
NO;FI;672060.1204
DK;FR;1167040.058
EE;FR;2052736.315
EL;FR;1804074.936
ES;FR;846262.3199
FI;FR;2434819.313
HR;FR;1088945.674
HU;FR;1282214.43
IE;FR;1059220.637
IS;FR;2408975.707
IT;FR;839527.4189
LT;FR;1779203.573
LU;FR;445029.5429
LV;FR;1905241.85
MT;FR;1546672.348
SE;FR;1964434.429
SI;FR;946009.2578
SK;FR;1290886.459
UK;FR;871357.5547
NL;FR;672698.2374
PL;FR;1367160.584
PT;FR;1145311.417
RO;FR;1726035.865
AT;FR;883583.903
BE;FR;479330.2526
BG;FR;1840604.484
CH;FR;435678.7106
CY;FR;2861378.708
CZ;FR;1014776.414
DE;FR;759335.3694
NO;FR;2029703.487
DK;HR;1328536.168
EE;HR;1639300.676
EL;HR;802251.1109
ES;HR;1709463.813
FI;HR;2213436.885
FR;HR;1088945.674
HU;HR;326123.9211
IE;HR;1988281.457
IS;HR;3067917.997
IT;HR;371224.2079
LT;HR;1257832.351
LU;HR;934349.973
LV;HR;1434677.269
MT;HR;1034497.434
SE;HR;1927793.774
SI;HR;170552.788
SK;HR;466457.108
UK;HR;1661576.603
NL;HR;1125129.471
PL;HR;812958.7923
PT;HR;2083802.988
RO;HR;673151.591
AT;HR;332003.8463
BE;HR;1070035.459
BG;HR;752384.9363
CH;HR;662413.0045
CY;HR;1808013.632
CZ;HR;524751.8563
DE;HR;799856.9041
NO;HR;2121417.324
DK;HU;1214074.94
EE;HU;1347429.068
EL;HU;893908.0212
ES;HU;1983241.109
FI;HU;1941096.018
FR;HU;1282214.43
HR;HU;326123.9211
IE;HU;2056462.086
IS;HU;2999215.024
IT;HU;686675.7998
LT;HU;960700.5986
LU;HU;1019898.437
LV;HU;1139605.384
MT;HU;1318668.466
SE;HU;1706400.253
SI;HU;365940.5731
SK;HU;171981.4647
UK;HU;1699865.325
NL;HU;1139307.085
PL;HU;550123.9236
PT;HU;2348092.904
RO;HU;453764.655
AT;HU;401314.9681
BE;HU;1139845.954
BG;HU;673045.7528
CH;HU;847892.1548
CY;HU;1772079.832
CZ;HU;412350.8395
DE;HU;783847.4541
NO;HU;1923053.899
DK;IE;1168281.191
EE;IE;2176908.891
EL;IE;2775408.535
ES;IE;1469249.467
FI;IE;2285114.072
FR;IE;1059220.637
HR;IE;1988281.457
HU;IE;2056462.086
IS;IE;1434142.352
IT;IE;1843873.276
LT;IE;2079244.367
LU;IE;1054844.776
LV;IE;2122580.052
MT;IE;2605442.763
SE;IE;1755803.405
SI;IE;1819739.897
SK;IE;1984426.075
UK;IE;382329.6584
NL;IE;929667.1994
PL;IE;1851329.446
PT;IE;1506589.541
RO;IE;2501954.125
AT;IE;1686167.235
BE;IE;922827.1602
BG;IE;2710866.188
CH;IE;1363888.556
CY;IE;3794261.08
CZ;IE;1664358.705
DE;IE;1282825.866
NO;IE;1670648.076
DK;IS;1790483.498
EE;IS;2381218.166
EL;IS;3861294.895
ES;IS;2900949.795
FI;IS;2088607.641
FR;IS;2408975.707
HR;IS;3067917.997
HU;IS;2999215.024
IE;IS;1434142.352
IT;IS;3055081.644
LT;IS;2524677.038
LU;IS;2216904.271
LV;IS;2458133.74
MT;IS;3897892.359
SE;IS;1718928.899
SI;IS;2902815.526
SK;IS;2864265.67
UK;IS;1538794.565
NL;IS;1964899.944
PL;IS;2568252.472
PT;IS;2897325.514
RO;IS;3368318.655
AT;IS;2735914.627
BE;IS;2082755.388
BG;IS;3663252.781
CH;IS;2581671.341
CY;IS;4751358.389
CZ;IS;2593413.554
DE;IS;2268082.24
NO;IS;1465319.039
DK;IT;1422231.515
EE;IT;1923374.408
EL;IT;965129.764
ES;IT;1355487.251
FI;IT;2462537.336
FR;IT;839527.4189
HR;IT;371224.2079
HU;IT;686675.7998
IE;IT;1843873.276
IS;IT;3055081.644
LT;IT;1556175.24
LU;IT;840796.6307
LV;IT;1726665.529
MT;IT;866919.446
SE;IT;2117321.475
SI;IT;353484.7496
SK;IT;799892.1283
UK;IT;1563802.854
NL;IT;1093087.465
PL;IT;1093023.555
PT;IT;1734909.417
RO;IT;1034714.809
AT;IT;474613.5465
BE;IT;978256.8715
BG;IT;1053363.775
CH;IT;485296.9882
CY;IT;2026000.596
CZ;IT;730561.4037
DE;IT;848234.8536
NO;IT;2278916.202
DK;LT;917145.2198
EE;LT;387631.3735
EL;LT;1766698.468
ES;LT;2613785.392
FI;LT;997579.0816
FR;LT;1779203.573
HR;LT;1257832.351
HU;LT;960700.5986
IE;LT;2079244.367
IS;LT;2524677.038
IT;LT;1556175.24
LU;LT;1350567.836
LV;LT;179058.2105
MT;LT;2278912.139
SE;LT;901793.0423
SI;LT;1204568.782
SK;LT;796037.173
UK;LT;1701583.407
NL;LT;1248004.103
PL;LT;465133.8271
PT;LT;2923787.016
RO;LT;1058829.282
AT;LT;1095992.351
BE;LT;1386542.511
BG;LT;1400952.234
CH;LT;1446517.593
CY;LT;2362112.55
CZ;LT;849530.4236
DE;LT;1021304.991
NO;LT;1164621.287
DK;LU;743155.8895
EE;LU;1610041.918
EL;LU;1728242.117
ES;LU;1291098.229
FI;LU;1994519.608
FR;LU;445029.5429
HR;LU;934349.973
HU;LU;1019898.437
IE;LU;1054844.776
IS;LU;2216904.271
IT;LU;840796.6307
LT;LU;1350567.836
LV;LU;1468214.468
MT;LU;1684019.747
SE;LU;1536528.27
SI;LU;765166.7736
SK;LU;977190.1047
UK;LU;733666.6022
NL;LU;279993.1483
PL;LU;967133.0556
PT;LU;1577541.215
RO;LU;1472797.998
AT;LU;634444.2013
BE;LU;139170.3283
BG;LU;1659427.259
CH;LU;366042.655
CY;LU;2739424.678
CZ;LU;664621.5968
DE;LU;333085.7198
NO;LU;1624399.39
DK;LV;954598.0451
EE;LV;208784.7832
EL;LV;1940485.95
ES;LV;2746439.576
FI;LV;823713.7891
FR;LV;1905241.85
HR;LV;1434677.269
HU;LV;1139605.384
IE;LV;2122580.052
IS;LV;2458133.74
IT;LV;1726665.529
LT;LV;179058.2105
LU;LV;1468214.468
MT;LV;2457577.006
SE;LV;784226.9637
SI;LV;1376608.272
SK;LV;974334.3846
UK;LV;1752001.034
NL;LV;1337976.815
PL;LV;633642.5669
PT;LV;3045705.584
RO;LV;1225743.11
AT;LV;1261775.259
BE;LV;1490641.353
BG;LV;1567418.947
CH;LV;1593018.074
CY;LV;2501844.595
CZ;LV;1011040.863
DE;LV;1146242.398
NO;LV;1052803.303
DK;MT;2286650.036
EE;MT;2664725.332
EL;MT;816631.3784
ES;MT;1647460.053
FI;MT;3247282.5
FR;MT;1546672.348
HR;MT;1034497.434
HU;MT;1318668.466
IE;MT;2605442.763
IS;MT;3897892.359
IT;MT;866919.446
LT;MT;2278912.139
LU;MT;1684019.747
LV;MT;2457577.006
SE;MT;2951511.999
SI;MT;1139234.923
SK;MT;1483541.81
UK;MT;2375944.738
NL;MT;1949738.674
PL;MT;1845936.402
PT;MT;2008136.473
RO;MT;1413704.432
AT;MT;1301217.606
BE;MT;1815817.474
BG;MT;1200753.935
CH;MT;1318007.675
CY;MT;1704165.725
CZ;MT;1541422.664
DE;MT;1714231.121
NO;MT;3129819.448
DK;SE;797395.2258
EE;SE;669000.3763
EL;SE;2586559.546
ES;SE;2786826.194
FI;SE;529644.5338
FR;SE;1964434.429
HR;SE;1927793.774
HU;SE;1706400.253
IE;SE;1755803.405
IS;SE;1718928.899
IT;SE;2117321.475
LT;SE;901793.0423
LU;SE;1536528.27
LV;SE;784226.9637
MT;SE;2951511.999
SI;SE;1812316.611
SK;SE;1536164.97
UK;SE;1454023.638
NL;SE;1293167.315
PL;SE;1160204.574
PT;SE;3007600.752
RO;SE;1925704.225
AT;SE;1653516.934
BE;SE;1485804.217
BG;SE;2263351.388
CH;SE;1809228.533
CY;SE;3261799.383
CZ;SE;1410241.578
DE;SE;1314751.127
NO;SE;269399.2887
DK;SI;1178221.181
EE;SI;1575628.852
EL;SI;972336.2947
ES;SI;1617740.69
FI;SI;2128197.2
FR;SI;946009.2578
HR;SI;170552.788
HU;SI;365940.5731
IE;SI;1819739.897
IS;SI;2902815.526
IT;SI;353484.7496
LT;SI;1204568.782
LU;SI;765166.7736
LV;SI;1376608.272
MT;SI;1139234.923
SE;SI;1812316.611
SK;SI;451983.3128
UK;SI;1491149.459
NL;SI;955323.3817
PL;SI;743528.1557
PT;SI;1984335.359
RO;SI;784764.6554
AT;SI;171628.5816
BE;SI;900191.4431
BG;SI;907317.9132
CH;SI;512168.0306
CY;SI;1975072.437
CZ;SI;402774.487
DE;SI;635512.7476
NO;SI;1993968.965
DK;SK;1074140.599
EE;SK;1181192.557
EL;SK;1057061.961
ES;SK;2038216.795
FI;SK;1770695.676
FR;SK;1290886.459
HR;SK;466457.108
HU;SK;171981.4647
IE;SK;1984426.075
IS;SK;2864265.67
IT;SK;799892.1283
LT;SK;796037.173
LU;SK;977190.1047
LV;SK;974334.3846
MT;SK;1483541.81
SE;SK;1536164.97
SI;SK;451983.3128
UK;SK;1617395.807
NL;SK;1056438.78
PL;SK;378309.4634
PT;SK;2392825.639
RO;SK;524767.3555
AT;SK;418568.6869
BE;SK;1084597.168
BG;SK;799042.6405
CH;SK;868007.5442
CY;SK;1891455.933
CZ;SK;320443.5439
DE;SK;701600.2362
NO;SK;1755816.144
DK;UK;798383.7884
EE;UK;1818061.365
EL;UK;2460026.293
ES;UK;1490496.674
FI;UK;1981380.329
FR;UK;871357.5547
HR;UK;1661576.603
HU;UK;1699865.325
IE;UK;382329.6584
IS;UK;1538794.565
IT;UK;1563802.854
LT;UK;1701583.407
LU;UK;733666.6022
LV;UK;1752001.034
MT;UK;2375944.738
SE;UK;1454023.638
SI;UK;1491149.459
SK;UK;1617395.807
NL;UK;561660.5304
PL;UK;1470121.502
PT;UK;1621285.623
RO;UK;2139020.535
AT;UK;1345761.706
BE;UK;594842.4057
BG;UK;2363655.027
CH;UK;1078771.363
CY;UK;3455946.885
CZ;UK;1299144.547
DE;UK;918060.7692
NO;UK;1412647.087
DK;NL;496635.0487
EE;NL;1452603.941
EL;NL;1927375.161
ES;NL;1497792.883
FI;NL;1774801.47
FR;NL;672698.2374
HR;NL;1125129.471
HU;NL;1139307.085
IE;NL;929667.1994
IS;NL;1964899.944
IT;NL;1093087.465
LT;NL;1248004.103
LU;NL;279993.1483
LV;NL;1337976.815
MT;NL;1949738.674
SE;NL;1293167.315
SI;NL;955323.3817
SK;NL;1056438.78
UK;NL;561660.5304
PL;NL;940433.2365
PT;NL;1746480.529
RO;NL;1577392.786
AT;NL;799029.8572
BE;NL;193398.1201
BG;NL;1806228.493
CH;NL;637211.4175
CY;NL;2901881.521
CZ;NL;737588.2428
DE;NL;356425.4713
NO;NL;1360179.489
DK;PL;794476.7958
EE;PL;832296.0001
EL;PL;1427199.668
ES;PL;2182911.222
FI;PL;1401432.694
FR;PL;1367160.584
HR;PL;812958.7923
HU;PL;550123.9236
IE;PL;1851329.446
IS;PL;2568252.472
IT;PL;1093023.555
LT;PL;465133.8271
LU;PL;967133.0556
LV;PL;633642.5669
MT;PL;1845936.402
SE;PL;1160204.574
SI;PL;743528.1557
SK;PL;378309.4634
UK;PL;1470121.502
NL;PL;940433.2365
PT;PL;2509651.181
RO;PL;808335.173
AT;PL;630916.4884
BE;PL;1034621.106
BG;PL;1128538.351
CH;PL;1001010.395
CY;PL;2190106.941
CZ;PL;388053.4898
DE;PL;636582.0197
NO;PL;1386395.164
DK;PT;2231468.314
EE;PT;3184338.682
EL;PT;2604598.441
ES;PT;383855.613
FI;PT;3511878.385
FR;PT;1145311.417
HR;PT;2083802.988
HU;PT;2348092.904
IE;PT;1506589.541
IS;PT;2897325.514
IT;PT;1734909.417
LT;PT;2923787.016
LU;PT;1577541.215
LV;PT;3045705.584
MT;PT;2008136.473
SE;PT;3007600.752
SI;PT;1984335.359
SK;PT;2392825.639
UK;PT;1621285.623
NL;PT;1746480.529
PL;PT;2509651.181
RO;PT;2756663.941
AT;PT;1974292.689
BE;PT;1568986.844
BG;PT;2782518.723
CH;PT;1529159.869
CY;PT;3647626.028
CZ;PT;2145308.252
DE;PT;1902693.177
NO;PT;3013692.791
DK;RO;1580242.365
EE;RO;1427694.468
EL;RO;734593.8427
ES;RO;2382579.887
FI;RO;2047972.911
FR;RO;1726035.865
HR;RO;673151.591
HU;RO;453764.655
IE;RO;2501954.125
IS;RO;3368318.655
IT;RO;1034714.809
LT;RO;1058829.282
LU;RO;1472797.998
LV;RO;1225743.11
MT;RO;1413704.432
SE;RO;1925704.225
SI;RO;784764.6554
SK;RO;524767.3555
UK;RO;2139020.535
NL;RO;1577392.786
PL;RO;808335.173
PT;RO;2756663.941
AT;RO;852773.723
BE;RO;1590424.239
BG;RO;342122.987
CH;RO;1290357.167
CY;RO;1383777.626
CZ;RO;839920.2996
DE;RO;1221143.591
NO;RO;2170484.51
DK;AT;1006721.88
EE;AT;1454404.019
EL;AT;1131099.026
ES;AT;1620467.546
FI;AT;1987949.529
FR;AT;883583.903
HR;AT;332003.8463
HU;AT;401314.9681
IE;AT;1686167.235
IS;AT;2735914.627
IT;AT;474613.5465
LT;AT;1095992.351
LU;AT;634444.2013
LV;AT;1261775.259
MT;AT;1301217.606
SE;AT;1653516.934
SI;AT;171628.5816
SK;AT;418568.6869
UK;AT;1345761.706
NL;AT;799029.8572
PL;AT;630916.4884
PT;AT;1974292.689
RO;AT;852773.723
BE;AT;763347.2076
BG;AT;1025256.425
CH;AT;452873.4886
CY;AT;2110882.334
CZ;AT;256175.9773
DE;AT;467859.3408
NO;AT;1828861.917
DK;BE;688640.3086
EE;BE;1618052.216
EL;BE;1865989.752
ES;BE;1308951.467
FI;BE;1963096.812
FR;BE;479330.2526
HR;BE;1070035.459
HU;BE;1139845.954
IE;BE;922827.1602
IS;BE;2082755.388
IT;BE;978256.8715
LT;BE;1386542.511
LU;BE;139170.3283
LV;BE;1490641.353
MT;BE;1815817.474
SE;BE;1485804.217
SI;BE;900191.4431
SK;BE;1084597.168
UK;BE;594842.4057
NL;BE;193398.1201
PL;BE;1034621.106
PT;BE;1568986.844
RO;BE;1590424.239
AT;BE;763347.2076
BG;BE;1788280.559
CH;BE;499020.5467
CY;BE;2872447.467
