"year","country"
2009,"AT"
2009,"BE"
2009,"BG"
2009,"CY"
2009,"CZ"
2009,"DE"
2009,"DK"
2009,"EE"
2009,"EL"
2009,"ES"
2009,"FI"
2009,"FR"
2009,"HR"
2009,"HU"
2009,"IE"
2009,"IS"
2009,"IT"
2009,"LT"
2009,"LU"
2009,"LV"
2009,"MT"
2009,"NL"
2009,"NO"
2009,"PL"
2009,"PT"
2009,"RO"
2009,"SE"
2009,"SI"
2009,"SK"
2009,"UK"
2010,"AT"
2010,"BE"
2010,"BG"
2010,"CY"
2010,"CZ"
2010,"DE"
2010,"DK"
2010,"EE"
2010,"EL"
2010,"ES"
2010,"FI"
2010,"FR"
2010,"HR"
2010,"HU"
2010,"IE"
2010,"IS"
2010,"IT"
2010,"LT"
2010,"LU"
2010,"LV"
2010,"MT"
2010,"NL"
2010,"NO"
2010,"PL"
2010,"PT"
2010,"RO"
2010,"SE"
2010,"SI"
2010,"SK"
2010,"UK"
2011,"AT"
2011,"BE"
2011,"BG"
2011,"CY"
2011,"CZ"
2011,"DE"
2011,"DK"
2011,"EE"
2011,"EL"
2011,"ES"
2011,"FI"
2011,"FR"
2011,"HR"
2011,"HU"
2011,"IE"
2011,"IS"
2011,"IT"
2011,"LT"
2011,"LU"
2011,"LV"
2011,"MT"
2011,"NL"
2011,"NO"
2011,"PL"
2011,"PT"
2011,"RO"
2011,"SE"
2011,"SI"
2011,"SK"
2011,"UK"
2012,"AT"
2012,"BE"
2012,"BG"
2012,"CY"
2012,"CZ"
2012,"DE"
2012,"DK"
2012,"EE"
2012,"EL"
2012,"ES"
2012,"FI"
2012,"FR"
2012,"HR"
2012,"HU"
2012,"IE"
2012,"IS"
2012,"IT"
2012,"LT"
2012,"LU"
2012,"LV"
2012,"MT"
2012,"NL"
2012,"NO"
2012,"PL"
2012,"PT"
2012,"RO"
2012,"SE"
2012,"SI"
2012,"SK"
2012,"UK"
2013,"AT"
2013,"BE"
2013,"BG"
2013,"CY"
2013,"CZ"
2013,"DE"
2013,"DK"
2013,"EE"
2013,"EL"
2013,"ES"
2013,"FI"
2013,"FR"
2013,"HR"
2013,"HU"
2013,"IE"
2013,"IS"
2013,"IT"
2013,"LT"
2013,"LU"
2013,"LV"
2013,"MT"
2013,"NL"
2013,"NO"
2013,"PL"
2013,"PT"
2013,"RO"
2013,"SE"
2013,"SI"
2013,"SK"
2013,"UK"
2014,"AT"
2014,"BE"
2014,"BG"
2014,"CY"
2014,"CZ"
2014,"DE"
2014,"DK"
2014,"EE"
2014,"EL"
2014,"ES"
2014,"FI"
2014,"FR"
2014,"HR"
2014,"HU"
2014,"IE"
2014,"IS"
2014,"IT"
2014,"LT"
2014,"LU"
2014,"LV"
2014,"MT"
2014,"NL"
2014,"NO"
2014,"PL"
2014,"PT"
2014,"RO"
2014,"SE"
2014,"SI"
2014,"SK"
2014,"UK"
2015,"AT"
2015,"BE"
2015,"BG"
2015,"CY"
2015,"CZ"
2015,"DE"
2015,"DK"
2015,"EE"
2015,"EL"
2015,"ES"
2015,"FI"
2015,"FR"
2015,"HR"
2015,"HU"
2015,"IE"
2015,"IS"
2015,"IT"
2015,"LT"
2015,"LU"
2015,"LV"
2015,"MT"
2015,"NL"
2015,"NO"
2015,"PL"
2015,"PT"
2015,"RO"
2015,"SE"
2015,"SI"
2015,"SK"
2015,"UK"
2016,"AT"
2016,"BE"
2016,"BG"
2016,"CY"
2016,"CZ"
2016,"DE"
2016,"DK"
2016,"EE"
2016,"EL"
2016,"ES"
2016,"FI"
2016,"FR"
2016,"HR"
2016,"HU"
2016,"IE"
2016,"IS"
2016,"IT"
2016,"LT"
2016,"LU"
2016,"LV"
2016,"MT"
2016,"NL"
2016,"NO"
2016,"PL"
2016,"PT"
2016,"RO"
2016,"SE"
2016,"SI"
2016,"SK"
2016,"UK"
2017,"AT"
2017,"BE"
2017,"BG"
2017,"CY"
2017,"CZ"
2017,"DE"
2017,"DK"
2017,"EE"
2017,"EL"
2017,"ES"
2017,"FI"
2017,"FR"
2017,"HR"
2017,"HU"
2017,"IE"
2017,"IS"
2017,"IT"
2017,"LT"
2017,"LU"
2017,"LV"
2017,"MT"
2017,"NL"
2017,"NO"
2017,"PL"
2017,"PT"
2017,"RO"
2017,"SE"
2017,"SI"
2017,"SK"
2017,"UK"
2018,"AT"
2018,"BE"
2018,"BG"
2018,"CY"
2018,"CZ"
2018,"DE"
2018,"DK"
2018,"EE"
2018,"EL"
2018,"ES"
2018,"FI"
2018,"FR"
2018,"HR"
2018,"HU"
2018,"IE"
2018,"IS"
2018,"IT"
2018,"LT"
2018,"LU"
2018,"LV"
2018,"MT"
2018,"NL"
2018,"NO"
2018,"PL"
2018,"PT"
2018,"RO"
2018,"SE"
2018,"SI"
2018,"SK"
2018,"UK"
2019,"AT"
2019,"BE"
2019,"BG"
2019,"CY"
2019,"CZ"
2019,"DE"
2019,"DK"
2019,"EE"
2019,"EL"
2019,"ES"
2019,"FI"
2019,"FR"
2019,"HR"
2019,"HU"
2019,"IE"
2019,"IS"
2019,"IT"
2019,"LT"
2019,"LU"
2019,"LV"
2019,"MT"
2019,"NL"
2019,"NO"
2019,"PL"
2019,"PT"
2019,"RO"
2019,"SE"
2019,"SI"
2019,"SK"
2019,"UK"
2020,"AT"
2020,"BE"
2020,"BG"
2020,"CY"
2020,"CZ"
2020,"DE"
2020,"DK"
2020,"EE"
2020,"EL"
2020,"ES"
2020,"FI"
2020,"FR"
2020,"HR"
2020,"HU"
2020,"IE"
2020,"IS"
2020,"IT"
2020,"LT"
2020,"LU"
2020,"LV"
2020,"MT"
2020,"NL"
2020,"NO"
2020,"PL"
2020,"PT"
2020,"RO"
2020,"SE"
2020,"SI"
2020,"SK"
2020,"UK"
2009,"CH"
2010,"CH"
2011,"CH"
2012,"CH"
2013,"CH"
2014,"CH"
2015,"CH"
2016,"CH"
2017,"CH"
2018,"CH"
2019,"CH"
2020,"CH"
