"year","country","ted","score","flow_in","flow_out","gdp","edu_index","r3score"
"2009","AT",22.0737561766214,0.02,51,51,40918.1321224314,0.895,0.271441761659491
"2009","BE",22.6367305387651,0.064,447,409,37749.5095365743,0.908,0.4
"2009","BG",21.9858266266886,0,33,30,14181.1546844467,0.782,0
"2009","CH",20.9450288931073,0.208,276,171,53354.0046402285,0.935,0.592499213681474
"2009","CY",19.8205354519693,0,124,60,33884.87890625,0.862,0
"2009","CZ",21.904121905541,0.016,62,62,27761.5091540229,0.865,0.251984209978975
"2009","DE",23.6537282094766,0.272,1770,2112,36815.8440540696,0.923,0.647922360255497
"2009","DK",22.6653295137331,0.052,244,180,40331.4068810678,0.913,0.373251115681725
"2009","EE",21.6516009978396,0,7,8,20477.8524315004,0.846,0
"2009","EL",22.2382687223718,0.016,140,99,30359.1494613318,0.867,0.251984209978975
"2009","ES",24.2720839092515,0.044,1220,1108,32092.3648208603,0.865,0.353034833532606
"2009","FI",21.9071026020651,0.04,285,272,37972.270046867,0.913,0.341995189335339
"2009","FR",23.6169197743403,0.08,1459,1654,34678.0623193739,0.875,0.430886938006377
"2009","HR",17.2648447700222,0,74,61,20149.5095665253,0.812,0
"2009","HU",22.2443813021756,0,62,47,20729.783927124,0.827,0
"2009","IE",20.9840969654799,0.088,250,226,41471.0799783739,0.906,0.444796018113863
"2009","IS",18.587955046435,0,33,24,41864.1882622629,0.898,0
"2009","IT",24.1318407605465,0.068,995,1282,34602.8969588528,0.875,0.408165510191735
"2009","LT",20.2484850604329,0,11,7,18116.7302641547,0.827,0
"2009","LU",21.3838333136674,0,31,0,86875.8537667967,0.893,0
"2009","LV",14.5068069418562,0,5,0,17023.7549183562,0.826,0
"2009","MT",12.3893260596768,0,13,12,26649.6041313751,0.769887017,0
"2009","NL",21.2172404897985,0.164,748,760,44556.9211528341,0.912,0.547370367479843
"2009","NO",22.8115091611142,0.024,240,135,55364.21942385,0.937,0.288449914061482
"2009","PL",23.9419161119618,0.016,1045,1451,19239.9284691729,0.834,0.251984209978975
"2009","PT",22.253377413608,0.004,474,263,26458.9110362123,0.823,0.15874010519682
"2009","RO",22.6457545960612,0,571,350,16631.8581907197,0.806,0
"2009","SE",22.4897135590573,0.088,573,551,40279.4615973941,0.904,0.444796018113863
"2009","SI",21.2094154220732,0.004,15,90,27537.7584612632,0.886,0.15874010519682
"2009","SK",22.1461898884967,0,52,69,23080.5865355505,0.824,0
"2009","UK",25.2487166611121,1.332,3857,4746,35212.420476946,0.906,1.10027541313119
"2010","AT",22.2280990735882,0.028,126,109,42009.4385277438,0.904,0.303658897187566
"2010","BE",22.2660970175909,0.068,725,775,39840.0881958103,0.909,0.408165510191735
"2010","BG",20.3684528444712,0,21,16,14956.4871777211,0.787,0
"2010","CH",21.5157901224618,0.196,956,793,54858.4480758362,0.941,0.58087857335637
"2010","CY",19.5548889015208,0,14,6,33423.5,0.856,0
"2010","CZ",21.3469352617356,0.008,114,70,27881.9679972276,0.87,0.2
"2010","DE",23.4885451188247,0.304,3891,4841,38952.6946021004,0.928,0.672395081359793
"2010","DK",22.6815076579005,0.076,230,180,43003.0545921155,0.917,0.423582358425489
"2010","EE",21.0984771070368,0,4,2,21619.4545478307,0.852,0
"2010","EL",20.312902710517,0.02,309,398,27913.0891911748,0.865,0.271441761659491
"2010","ES",24.2810381873901,0.052,1922,1845,31682.7131000557,0.872,0.373251115681725
"2010","FI",21.8877935431263,0.052,162,139,38956.4722165393,0.916,0.373251115681725
"2010","FR",23.7486856692831,0.184,1647,2127,35902.9031102393,0.879,0.568773395970313
"2010","HR",17.8469183892677,0,59,77,19967.213732615,0.816,0
"2010","HU",21.9148880772395,0.008,67,175,21751.8338392809,0.831,0.2
"2010","IE",20.9069334259897,0.06,350,525,43203.1200753797,0.901,0.391486764116886
"2010","IS",16.4428796013493,0,6,4,39775.2970758147,0.899,0
"2010","IT",24.5498176028041,0.068,647,743,35158.4418435321,0.879,0.408165510191735
"2010","LT",19.8951617123172,0,11,11,20096.7360969805,0.831,0
"2010","LU",21.6329780843171,0,10,2,90361.783087755,0.898,0
"2010","LV",12.704735886459,0,0,4,17706.894512358,0.824,0
"2010","MT",15.7916286494256,0,169,63,28722.7021856242,0.780146508,0
"2010","NL",21.7359930493682,0.144,1567,2711,45043.9042332404,0.917,0.524148278841779
"2010","NO",22.2167077241781,0.04,555,636,57919.6519537143,0.94,0.341995189335339
"2010","PL",24.1203813357879,0.008,620,496,21072.5265773141,0.84,0.2
"2010","PT",22.5059828924342,0.012,775,547,27261.9534524665,0.83,0.228942848510666
