"country","year","edu_index","edu_index_im"
"AT",2009,0.895,0.895
"BE",2009,0.908,0.908
"BG",2009,0.782,0.782
"HR",2009,0.812,0.812
"CY",2009,0.862,0.862
"CZ",2009,0.865,0.865
"DK",2009,0.913,0.913
"EE",2009,0.846,0.846
"FI",2009,0.913,0.913
"FR",2009,0.875,0.875
"DE",2009,0.923,0.923
"GR",2009,0.867,0.867
"HU",2009,0.827,0.827
"IS",2009,0.898,0.898
"IE",2009,0.906,0.906
"IT",2009,0.875,0.875
"LV",2009,0.826,0.826
"LT",2009,0.827,0.827
"LU",2009,0.893,0.893
"NL",2009,0.912,0.912
"NO",2009,0.937,0.937
"PL",2009,0.834,0.834
"PT",2009,0.823,0.823
"RO",2009,0.806,0.806
"SK",2009,0.824,0.824
"SI",2009,0.886,0.886
"ES",2009,0.865,0.865
"SE",2009,0.904,0.904
"CH",2009,0.935,0.935
"GB",2009,0.906,0.906
"AT",2010,0.904,0.904
"BE",2010,0.909,0.909
"BG",2010,0.787,0.787
"HR",2010,0.816,0.816
"CY",2010,0.856,0.856
"CZ",2010,0.87,0.87
"DK",2010,0.917,0.917
"EE",2010,0.852,0.852
"FI",2010,0.916,0.916
"FR",2010,0.879,0.879
"DE",2010,0.928,0.928
"GR",2010,0.865,0.865
"HU",2010,0.831,0.831
"IS",2010,0.899,0.899
"IE",2010,0.901,0.901
"IT",2010,0.879,0.879
"LV",2010,0.824,0.824
"LT",2010,0.831,0.831
"LU",2010,0.898,0.898
"NL",2010,0.917,0.917
"NO",2010,0.94,0.94
"PL",2010,0.84,0.84
"PT",2010,0.83,0.83
"RO",2010,0.805,0.805
"SK",2010,0.831,0.831
"SI",2010,0.889,0.889
"ES",2010,0.872,0.872
"SE",2010,0.911,0.911
"CH",2010,0.941,0.941
"GB",2010,0.913,0.913
"AT",2011,0.906,0.906
"BE",2011,0.911,0.911
"BG",2011,0.791,0.791
"HR",2011,0.823,0.823
"CY",2011,0.859,0.859
"CZ",2011,0.874,0.874
"DK",2011,0.929,0.929
"EE",2011,0.86,0.86
"FI",2011,0.92,0.92
"FR",2011,0.882,0.882
"DE",2011,0.933,0.933
"GR",2011,0.863,0.863
"HU",2011,0.827,0.827
"IS",2011,0.907,0.907
"IE",2011,0.902,0.902
"IT",2011,0.883,0.883
"LV",2011,0.829,0.829
"LT",2011,0.839,0.839
"LU",2011,0.9,0.9
"NL",2011,0.928,0.928
"NO",2011,0.942,0.942
"PL",2011,0.844,0.844
"PT",2011,0.834,0.834
"RO",2011,0.805,0.805
"SK",2011,0.838,0.838
"SI",2011,0.89,0.89
"ES",2011,0.878,0.878
"SE",2011,0.913,0.913
"CH",2011,0.941,0.941
"GB",2011,0.906,0.906
"AT",2012,0.908,0.908
"BE",2012,0.913,0.913
"BG",2012,0.795,0.795
"HR",2012,0.825,0.825
"CY",2012,0.859,0.859
"CZ",2012,0.875,0.875
"DK",2012,0.932,0.932
"EE",2012,0.865,0.865
"FI",2012,0.92,0.92
"FR",2012,0.885,0.885
"DE",2012,0.935,0.935
"GR",2012,0.865,0.865
"HU",2012,0.83,0.83
"IS",2012,0.915,0.915
"IE",2012,0.908,0.908
"IT",2012,0.883,0.883
"LV",2012,0.832,0.832
"LT",2012,0.841,0.841
"LU",2012,0.9,0.9
"NL",2012,0.929,0.929
"NO",2012,0.941,0.941
"PL",2012,0.841,0.841
"PT",2012,0.836,0.836
"RO",2012,0.803,0.803
"SK",2012,0.844,0.844
"SI",2012,0.885,0.885
"ES",2012,0.881,0.881
"SE",2012,0.913,0.913
"CH",2012,0.944,0.944
"GB",2012,0.904,0.904
"AT",2013,0.906,0.906
"BE",2013,0.916,0.916
"BG",2013,0.801,0.801
"HR",2013,0.829,0.829
"CY",2013,0.861,0.861
"CZ",2013,0.882,0.882
"DK",2013,0.934,0.934
"EE",2013,0.87,0.87
"FI",2013,0.929,0.929
"FR",2013,0.889,0.889
"DE",2013,0.934,0.934
"GR",2013,0.866,0.866
"HU",2013,0.839,0.839
"IS",2013,0.926,0.926
"IE",2013,0.916,0.916
"IT",2013,0.882,0.882
"LV",2013,0.839,0.839
"LT",2013,0.847,0.847
"LU",2013,0.9,0.9
"NL",2013,0.93,0.93
"NO",2013,0.945,0.945
"PL",2013,0.857,0.857
"PT",2013,0.84,0.84
"RO",2013,0.808,0.808
"SK",2013,0.844,0.844
"SI",2013,0.892,0.892
"ES",2013,0.882,0.882
"SE",2013,0.933,0.933
"CH",2013,0.946,0.946
"GB",2013,0.921,0.921
"AT",2014,0.912,0.912
"BE",2014,0.919,0.919
"BG",2014,0.806,0.806
"HR",2014,0.836,0.836
"CY",2014,0.862,0.862
"CZ",2014,0.887,0.887
"DK",2014,0.935,0.935
"EE",2014,0.871,0.871
"FI",2014,0.928,0.928
"FR",2014,0.893,0.893
"DE",2014,0.936,0.936
"GR",2014,0.875,0.875
"HU",2014,0.838,0.838
"IS",2014,0.931,0.931
"IE",2014,0.928,0.928
"IT",2014,0.882,0.882
"LV",2014,0.844,0.844
"LT",2014,0.859,0.859
"LU",2014,0.904,0.904
"NL",2014,0.932,0.932
"NO",2014,0.944,0.944
"PL",2014,0.858,0.858
"PT",2014,0.846,0.846
"RO",2014,0.812,0.812
"SK",2014,0.847,0.847
"SI",2014,0.894,0.894
"ES",2014,0.888,0.888
"SE",2014,0.936,0.936
"CH",2014,0.942,0.942
"GB",2014,0.925,0.925
"AT",2015,0.916,0.916
"BE",2015,0.922,0.922
"BG",2015,0.809,0.809
"HR",2015,0.84,0.84
"CY",2015,0.866,0.866
"CZ",2015,0.892,0.892
"DK",2015,0.933,0.933
"EE",2015,0.877,0.877
"FI",2015,0.93,0.93
"FR",2015,0.894,0.894
"DE",2015,0.938,0.938
"GR",2015,0.877,0.877
"HU",2015,0.841,0.841
"IS",2015,0.934,0.934
