"year","country","ted_im"
2009,"AT",22.0737561766214
2010,"AT",22.2280990735882
2011,"AT",21.7032118932885
2012,"AT",21.5538828166097
2013,"AT",21.5969557305872
2014,"AT",21.8698920097629
2015,"AT",22.4773284548461
2016,"AT",22.0688164943146
2017,"AT",22.2912589237933
2018,"AT",22.7646133252742
2019,"AT",22.9999918606986
2020,"AT",23.5550276805035
2009,"BE",22.6367305387651
2010,"BE",22.2660970175909
2011,"BE",22.2152899122287
2012,"BE",22.3247946050526
2013,"BE",22.6471566254373
2014,"BE",22.4249910950235
2015,"BE",22.5401425744303
2016,"BE",22.7992131287358
2017,"BE",22.519079254567
2018,"BE",22.7435321646563
2019,"BE",22.7081117753593
2020,"BE",22.8999715152947
2009,"BG",21.9858266266886
2010,"BG",20.3684528444712
2011,"BG",20.6592626167871
2012,"BG",21.0009431571572
2013,"BG",21.4980846008797
2014,"BG",21.0563088946773
2015,"BG",21.3946979104669
2016,"BG",21.1857396392034
2017,"BG",21.1873081292666
2018,"BG",21.2871102914213
2019,"BG",21.4376939990374
2020,"BG",22.7081777710629
2009,"CH",20.9450288931073
2010,"CH",21.5157901224618
2011,"CH",21.434734379991
2012,"CH",21.3311284898808
2013,"CH",21.744989288924
2014,"CH",22.3219438960426
2015,"CH",21.9764368037435
2016,"CH",22.863432945737
2017,"CH",22.5703901352758
2018,"CH",22.6395956833172
2019,"CH",23.5111970363667
2020,"CH",23.3653078401046
2009,"CY",19.8205354519693
2010,"CY",19.5548889015208
2011,"CY",19.8778907082287
2012,"CY",19.7895452941604
2013,"CY",19.3254735962617
2014,"CY",18.7316427133376
2015,"CY",18.9894996835205
2016,"CY",19.5145812864914
2017,"CY",18.1237819211821
2018,"CY",18.1226084186226
2019,"CY",18.8587443112844
2020,"CY",20.4115102392455
2009,"CZ",21.904121905541
2010,"CZ",21.3469352617356
2011,"CZ",21.3676310774218
2012,"CZ",21.3828682500635
2013,"CZ",21.7975537076447
2014,"CZ",21.9553855059524
2015,"CZ",22.1519455216374
2016,"CZ",22.6933857839402
2017,"CZ",22.4786045059172
2018,"CZ",23.063513983567
2019,"CZ",22.8572212947393
2020,"CZ",23.0757500060131
2009,"DE",23.6537282094766
2010,"DE",23.4885451188247
2011,"DE",23.4871481396023
2012,"DE",23.614175945023
2013,"DE",23.6697732365105
2014,"DE",23.5159677266314
2015,"DE",24.342019332453
2016,"DE",23.9478369006474
2017,"DE",24.0785391396411
2018,"DE",24.1827272986322
2019,"DE",31.8943338160733
2020,"DE",31.3210361031904
2009,"DK",22.6653295137331
2010,"DK",22.6815076579005
2011,"DK",22.5566716977301
2012,"DK",23.0438028371936
2013,"DK",22.9774510957577
2014,"DK",22.9138558249956
2015,"DK",23.1143252187357
2016,"DK",23.3111592547497
2017,"DK",23.0242850796465
2018,"DK",23.2830568773443
2019,"DK",23.4477721654131
2020,"DK",23.6090573117275
2009,"EE",21.6516009978396
2010,"EE",21.0984771070368
2011,"EE",21.5032421035516
2012,"EE",20.9827813764858
2013,"EE",20.816280788893
2014,"EE",21.264323478119
2015,"EE",20.5892022115064
2016,"EE",21.0548335067329
2017,"EE",20.9910547317658
2018,"EE",20.7491192681505
2019,"EE",21.492291875627
2020,"EE",21.2583994431255
2009,"EL",22.2382687223718
2010,"EL",20.312902710517
2011,"EL",20.269142262632
2012,"EL",20.3128470897764
2013,"EL",21.7140480238748
2014,"EL",21.0660234559374
2015,"EL",19.7372379215018
2016,"EL",19.4459345279916
2017,"EL",18.287713538231
2018,"EL",19.1051744791699
2019,"EL",19.4447336083111
2020,"EL",18.9778591267229
2009,"ES",24.2720839092515
2010,"ES",24.2810381873901
2011,"ES",23.9988542855069
2012,"ES",23.7950460310257
2013,"ES",23.7585812603276
2014,"ES",23.7608247802071
2015,"ES",24.0419654636535
2016,"ES",23.8192703323794
2017,"ES",23.9385766793753
2018,"ES",24.1928861626911
2019,"ES",24.6210661824198
2020,"ES",24.7859971965502
2009,"FI",21.9071026020651
2010,"FI",21.8877935431263
2011,"FI",22.0415609675599
2012,"FI",21.8346712261972
2013,"FI",22.0426187934196
2014,"FI",22.1970949322821
2015,"FI",21.8335720700363
2016,"FI",22.1500120310396
2017,"FI",22.0413711800026
2018,"FI",22.0357920140627
2019,"FI",22.6633956580426
2020,"FI",21.2386132779157
2009,"FR",23.6169197743403
2010,"FR",23.7486856692831
2011,"FR",24.7961274106735
2012,"FR",24.6777583236949
2013,"FR",23.8376854043232
2014,"FR",23.6692667366891
2015,"FR",24.2685400257876
2016,"FR",23.7226379188767
2017,"FR",23.7164102974873
2018,"FR",24.1728957596715
2019,"FR",25.1519614522877
2020,"FR",25.2476619861745
2009,"HR",17.2648447700222
2010,"HR",17.8469183892677
2011,"HR",18.1829718073334
2012,"HR",18.4972107999158
2013,"HR",19.6789064720269
2014,"HR",21.6435601515532
2015,"HR",20.0482264549948
2016,"HR",21.5967750147378
2017,"HR",21.7549448443434
2018,"HR",21.8837673834353
2019,"HR",21.9321980868305
2020,"HR",22.1221697068308
2009,"HU",22.2443813021756
2010,"HU",21.9148880772395
2011,"HU",22.1679847824731
2012,"HU",22.6802655162851
2013,"HU",22.845601467329
2014,"HU",22.563703493997
