"year","country","flow_in","flow_out"
2009,"AT",51,51
2010,"AT",126,109
2011,"AT",152,129
2012,"AT",255,191
2013,"AT",457,328
2014,"AT",218,174
2015,"AT",921,758
2016,"AT",2456,1985
2017,"AT",715,628
2018,"AT",2141,1595
2019,"AT",1740,1608
2020,"AT",938,762
2009,"BE",447,409
2010,"BE",725,775
2011,"BE",1028,1057
2012,"BE",1574,1077
2013,"BE",312,308
2014,"BE",813,807
2015,"BE",1953,1571
2016,"BE",3216,2848
2017,"BE",2636,2328
2018,"BE",1800,1517
2019,"BE",3145,3013
2020,"BE",4987,4960
2009,"BG",33,30
2010,"BG",21,16
2011,"BG",154,244
2012,"BG",50,29
2013,"BG",104,92
2014,"BG",139,103
2015,"BG",93,175
2016,"BG",71,53
2017,"BG",59,38
2018,"BG",301,252
2019,"BG",522,428
2020,"BG",155,147
2009,"CH",276,171
2010,"CH",956,793
2011,"CH",243,188
2012,"CH",402,386
2013,"CH",759,943
2014,"CH",810,617
2015,"CH",2831,1830
2016,"CH",1634,1354
2017,"CH",7256,5359
2018,"CH",2165,1722
2019,"CH",2554,2268
2020,"CH",2513,2063
2009,"CY",124,60
2010,"CY",14,6
2011,"CY",32,24
2012,"CY",40,21
2013,"CY",58,36
2014,"CY",19,16
2015,"CY",29,22
2016,"CY",64,44
2017,"CY",384,279
2018,"CY",129,152
2019,"CY",220,124
2020,"CY",360,329
2009,"CZ",62,62
2010,"CZ",114,70
2011,"CZ",266,146
2012,"CZ",376,220
2013,"CZ",283,234
2014,"CZ",279,190
2015,"CZ",310,251
2016,"CZ",1144,1078
2017,"CZ",431,262
2018,"CZ",4160,4114
2019,"CZ",983,747
2020,"CZ",1072,901
2009,"DE",1770,2112
2010,"DE",3891,4841
2011,"DE",2970,2955
2012,"DE",9514,9575
2013,"DE",6029,5991
2014,"DE",9877,8281
2015,"DE",7999,7502
2016,"DE",6224,6533
2017,"DE",10502,10191
2018,"DE",10029,10945
2019,"DE",14758,14665
2020,"DE",14413,14243
2009,"DK",244,180
2010,"DK",230,180
2011,"DK",146,208
2012,"DK",663,540
2013,"DK",378,279
2014,"DK",475,602
2015,"DK",600,564
2016,"DK",1083,1123
2017,"DK",1056,1021
2018,"DK",1121,1436
2019,"DK",975,922
2020,"DK",8929,7503
2009,"EE",7,8
