"year","country","Score"
2009,"AT",0.02
2009,"BE",0.064
2009,"BG",0
2009,"CH",0.208
2009,"CY",0
2009,"CZ",0.016
2009,"DE",0.272
2009,"DK",0.052
2009,"EE",0
2009,"EL",0.016
2009,"ES",0.044
2009,"FI",0.04
2009,"FR",0.08
2009,"HR",0
2009,"HU",0
2009,"IE",0.088
2009,"IS",0
2009,"IT",0.068
2009,"LT",0
2009,"LU",0
2009,"LV",0
2009,"MT",0
2009,"NL",0.164
2009,"NO",0.024
2009,"PL",0.016
2009,"PT",0.004
2009,"RO",0
2009,"SE",0.088
2009,"SI",0.004
2009,"SK",0
2009,"UK",1.332
2010,"AT",0.028
2010,"BE",0.068
2010,"BG",0
2010,"CH",0.196
2010,"CY",0
2010,"CZ",0.008
2010,"DE",0.304
2010,"DK",0.076
2010,"EE",0
2010,"EL",0.02
2010,"ES",0.052
2010,"FI",0.052
2010,"FR",0.184
2010,"HR",0
2010,"HU",0.008
2010,"IE",0.06
2010,"IS",0
2010,"IT",0.068
2010,"LT",0
2010,"LU",0
2010,"LV",0
2010,"MT",0
2010,"NL",0.144
2010,"NO",0.04
2010,"PL",0.008
2010,"PT",0.012
2010,"RO",0
2010,"SE",0.08
2010,"SI",0
2010,"SK",0
2010,"UK",1.36
2011,"AT",0.032
2011,"BE",0.064
2011,"BG",0
2011,"CH",0.196
2011,"CY",0
2011,"CZ",0.004
2011,"DE",0.296
2011,"DK",0.056
2011,"EE",0
2011,"EL",0.012
2011,"ES",0.064
2011,"FI",0.052
2011,"FR",0.188
2011,"HR",0
2011,"HU",0
2011,"IE",0.052
2011,"IS",0
2011,"IT",0.068
2011,"LT",0
2011,"LU",0
2011,"LV",0
2011,"MT",0
2011,"NL",0.136
2011,"NO",0.024
2011,"PL",0.008
2011,"PT",0.012
2011,"RO",0
2011,"SE",0.08
2011,"SI",0
2011,"SK",0
2011,"UK",1.448
2012,"AT",0.024
2012,"BE",0.068
2012,"BG",0
2012,"CH",0.208
2012,"CY",0
2012,"CZ",0.004
2012,"DE",0.272
2012,"DK",0.056
2012,"EE",0
2012,"EL",0.008
2012,"ES",0.072
2012,"FI",0.056
2012,"FR",0.196
2012,"HR",0
2012,"HU",0
2012,"IE",0.052
2012,"IS",0
2012,"IT",0.068
2012,"LT",0
2012,"LU",0
2012,"LV",0
2012,"MT",0
2012,"NL",0.148
2012,"NO",0.024
2012,"PL",0.008
2012,"PT",0.012
2012,"RO",0
2012,"SE",0.08
2012,"SI",0
2012,"SK",0
2012,"UK",1.352
2013,"AT",0.02
2013,"BE",0.068
2013,"BG",0
2013,"CH",0.268
2013,"CY",0
2013,"CZ",0.012
2013,"DE",0.276
2013,"DK",0.076
2013,"EE",0.008
2013,"EL",0.008
2013,"ES",0.068
2013,"FI",0.06
2013,"FR",0.204
2013,"HR",0
2013,"HU",0
2013,"IE",0.044
2013,"IS",0
2013,"IT",0.08
2013,"LT",0
2013,"LU",0
2013,"LV",0
2013,"MT",0
2013,"NL",0.172
2013,"NO",0.036
2013,"PL",0.008
2013,"PT",0.012
2013,"RO",0
2013,"SE",0.08
2013,"SI",0
2013,"SK",0
2013,"UK",1.472
2014,"AT",0.024
2014,"BE",0.064
2014,"BG",0
2014,"CH",0.268
2014,"CY",0
2014,"CZ",0.012
2014,"DE",0.268
2014,"DK",0.076
2014,"EE",0.004
2014,"EL",0.016
2014,"ES",0.06
2014,"FI",0.06
2014,"FR",0.18
2014,"HR",0
2014,"HU",0
2014,"IE",0.044
2014,"IS",0
2014,"IT",0.08
2014,"LT",0
2014,"LU",0
2014,"LV",0
2014,"MT",0
2014,"NL",0.192
2014,"NO",0.028
2014,"PL",0.008
2014,"PT",0.012
2014,"RO",0
2014,"SE",0.08
2014,"SI",0
2014,"SK",0
2014,"UK",1.476
2015,"AT",0.024
2015,"BE",0.064
2015,"BG",0
2015,"CH",0.268
2015,"CY",0
2015,"CZ",0.012
2015,"DE",0.272
2015,"DK",0.076
2015,"EE",0.004
2015,"EL",0.016
2015,"ES",0.064
2015,"FI",0.06
2015,"FR",0.196
2015,"HR",0
2015,"HU",0
2015,"IE",0.044
2015,"IS",0
2015,"IT",0.08
2015,"LT",0
2015,"LU",0
2015,"LV",0
2015,"MT",0
2015,"NL",0.192
2015,"NO",0.028
2015,"PL",0.008
2015,"PT",0.012
2015,"RO",0
2015,"SE",0.08
2015,"SI",0
2015,"SK",0
2015,"UK",1.476
2016,"AT",0.024
2016,"BE",0.064
2016,"BG",0
2016,"CH",0.368
2016,"CY",0
2016,"CZ",0.008
2016,"DE",0.252
2016,"DK",0.044
2016,"EE",0.004
2016,"EL",0.008
2016,"ES",0.064
2016,"FI",0.06
2016,"FR",0.2
2016,"HR",0
2016,"HU",0
2016,"IE",0.048
2016,"IS",0
2016,"IT",0.06
2016,"LT",0
2016,"LU",0
2016,"LV",0
2016,"MT",0
2016,"NL",0.16
2016,"NO",0.024
2016,"PL",0.008
2016,"PT",0.016
2016,"RO",0
2016,"SE",0.08
2016,"SI",0
2016,"SK",0
2016,"UK",1.464
2017,"AT",0.024
2017,"BE",0.064
2017,"BG",0
2017,"CH",0.368
2017,"CY",0
2017,"CZ",0.004
2017,"DE",0.22
2017,"DK",0.044
2017,"EE",0.004
2017,"EL",0.008
2017,"ES",0.06
2017,"FI",0.056
2017,"FR",0.164
2017,"HR",0
2017,"HU",0
2017,"IE",0.044
2017,"IS",0
2017,"IT",0.06
2017,"LT",0.004
2017,"LU",0
2017,"LV",0
2017,"MT",0
2017,"NL",0.124
2017,"NO",0.024
2017,"PL",0.008
2017,"PT",0.016
2017,"RO",0
2017,"SE",0.088
2017,"SI",0
2017,"SK",0
2017,"UK",1.436
2018,"AT",0.028
2018,"BE",0.064
2018,"BG",0
2018,"CH",0.368
2018,"CY",0
2018,"CZ",0.008
2018,"DE",0.22
2018,"DK",0.044
2018,"EE",0.004
2018,"EL",0.004
2018,"ES",0.06
2018,"FI",0.036
2018,"FR",0.152
2018,"HR",0
2018,"HU",0
2018,"IE",0.044
2018,"IS",0
2018,"IT",0.076
2018,"LT",0.004
2018,"LU",0
2018,"LV",0
2018,"MT",0
2018,"NL",0.124
2018,"NO",0.024
2018,"PL",0.008
2018,"PT",0.016
2018,"RO",0
2018,"SE",0.076
2018,"SI",0
2018,"SK",0
2018,"UK",1.344
2019,"AT",0.028
2019,"BE",0.064
2019,"BG",0
2019,"CH",0.296
2019,"CY",0
2019,"CZ",0.004
2019,"DE",0.208
2019,"DK",0.044
2019,"EE",0.004
2019,"EL",0.004
2019,"ES",0.072
2019,"FI",0.036
2019,"FR",0.152
2019,"HR",0
2019,"HU",0.004
2019,"IE",0.028
2019,"IS",0
2019,"IT",0.072
2019,"LT",0.004
2019,"LU",0
2019,"LV",0
2019,"MT",0
2019,"NL",0.136
2019,"NO",0.024
2019,"PL",0.008
2019,"PT",0.016
2019,"RO",0
2019,"SE",0.064
2019,"SI",0
2019,"SK",0
2019,"UK",1.416
2020,"AT",0.028
2020,"BE",0.06
2020,"BG",0
2020,"CH",0.356
2020,"CY",0
2020,"CZ",0.012
2020,"DE",0.208
2020,"DK",0.044
2020,"EE",0.004
2020,"EL",0.004
2020,"ES",0.068
2020,"FI",0.04
2020,"FR",0.136
2020,"HR",0
2020,"HU",0
2020,"IE",0.028
2020,"IS",0
2020,"IT",0.072
2020,"LT",0.004
2020,"LU",0
2020,"LV",0
2020,"MT",0
2020,"NL",0.144
2020,"NO",0.024
2020,"PL",0.008
2020,"PT",0.016
2020,"RO",0
2020,"SE",0.076
2020,"SI",0
2020,"SK",0
2020,"UK",1.424
