nuts2;year;flow_in;flow_out;gdp;score;ted;edu_index
AT11;2009;0;0;26922.9449;0;15.53677263;0.763
AT11;2010;0;0;28006.29235;0;17.0064718;0.779
AT11;2011;0;1;29555.06015;0;17.10163098;0.779
AT11;2012;32;1;31586.07901;0;15.69731564;0.779
AT11;2013;0;0;32993.45267;0;17.9464017;0.777
AT11;2014;1;0;33659.29093;0;18.10078913;0.795
AT11;2015;1;0;34743.6624;0;17.38241904;0.812
AT11;2016;0;2;36840.16845;0;18.22767947;0.811
AT11;2017;0;1;38437.02396;0;16.0291263;0.816
AT11;2018;0;1;39976.57793;0;17.66940061;0.817
AT11;2019;1;5;40834.93275;0;16.32739941;0.813
AT11;2020;61;40;39569.79536;0;18.98632624;0.830280147
AT12;2009;9;0;33446.12539;0;19.19351652;0.752
AT12;2010;19;6;34177.17033;0;19.63981712;0.77
AT12;2011;13;9;36162.8988;0;19.30667366;0.767
AT12;2012;35;39;37854.1336;0;19.42321808;0.768
AT12;2013;6;8;39015.0714;0;19.18114219;0.764
AT12;2014;72;37;39915.6647;0;18.69619218;0.787
AT12;2015;16;10;40992.52254;0;19.53458435;0.799
AT12;2016;21;17;43151.94556;0;19.25867139;0.799
AT12;2017;293;200;45015.17236;0;19.45650599;0.805
AT12;2018;64;52;47161.91056;0;19.6375763;0.807
AT12;2019;257;304;48483.38047;0;19.758377;0.8
AT12;2020;136;154;46252.1118;0;20.76664939;0.811267597
AT13;2009;21;24;53727.28653;0.012;21.77090017;0.901
AT13;2010;27;19;54707.20667;0.016;21.93890179;0.907
AT13;2011;65;68;56827.4124;0.02;21.33720345;0.905
AT13;2012;48;36;58378.9398;0.012;21.13962669;0.905
AT13;2013;313;175;59463.48503;0.012;21.24847785;0.913
AT13;2014;58;52;59560.67837;0.016;21.65287173;0.928
AT13;2015;720;624;60114.03458;0.016;22.26289835;0.933
AT13;2016;85;87;63890.64178;0.016;21.78844847;0.933
AT13;2017;111;84;63846.73443;0.016;22.07029785;0.936
AT13;2018;729;606;67150.19953;0.016;22.36401192;0.935
AT13;2019;127;117;68187.85596;0.016;22.79983394;0.93
AT13;2020;163;107;66037.00948;0.016;23.40414175;0.947668653
AT21;2009;0;0;34276.34836;0;16.54494363;0.802
