"sender","receiver","year","ted_send","score_send","gdp_send","edu_send","r3score_send","ted_rec","score_rec","gdp_rec","edu_rec","r3score_rec","dist","count"
"AT","BE",2009,22.0737561766214,0.02,40918.1321224314,0.895,0.271441761659491,22.6367305387651,0.064,37749.5095365743,0.908,0.4,763347.2076,0
"AT","BE",2010,22.2280990735882,0.028,42009.4385277438,0.904,0.303658897187566,22.2660970175909,0.068,39840.0881958103,0.909,0.408165510191735,763347.2076,0
"AT","BE",2011,21.7032118932885,0.032,44452.7327457999,0.906,0.31748021039364,22.2152899122287,0.064,40942.372710454,0.911,0.4,763347.2076,0
"AT","BE",2012,21.5538828166097,0.024,46457.3457770311,0.908,0.288449914061482,22.3247946050526,0.068,42290.7620520019,0.913,0.408165510191735,763347.2076,1
"AT","BE",2013,21.5969557305872,0.02,47922.0491207455,0.906,0.271441761659491,22.6471566254373,0.068,43671.11959259,0.916,0.408165510191735,763347.2076,0
"AT","BE",2014,21.8698920097629,0.024,48799.7154676985,0.912,0.288449914061482,22.4249910950235,0.064,44929.685593416,0.919,0.4,763347.2076,1
"AT","BE",2015,22.4773284548461,0.024,49865.9039424185,0.916,0.288449914061482,22.5401425744303,0.064,46200.904454307,0.922,0.4,763347.2076,2
"AT","BE",2016,22.0688164943146,0.024,52684.0171130768,0.918,0.288449914061482,22.7992131287358,0.064,48597.3999826201,0.924,0.4,763347.2076,3
"AT","BE",2017,22.2912589237933,0.024,54172.9867888254,0.92,0.288449914061482,22.519079254567,0.064,50442.2705419624,0.928,0.4,763347.2076,3
"AT","BE",2018,22.7646133252742,0.028,56960.0914258929,0.921,0.303658897187566,22.7435321646563,0.064,52535.23221854,0.93,0.4,763347.2076,5
"AT","BE",2019,22.9999918606986,0.028,58076.348801448,0.921,0.303658897187566,22.7081117753593,0.064,54278.3894505636,0.932,0.4,763347.2076,11
"AT","BE",2020,23.5550276805035,0.028,55685.9702933361,0.925968142125103,0.303658897187566,22.8999715152947,0.06,53070.2148197652,0.934900362059728,0.391486764116886,763347.2076,6
"AT","BG",2009,22.0737561766214,0.02,40918.1321224314,0.895,0.271441761659491,21.9858266266886,0,14181.1546844467,0.782,0,1025256.425,0
"AT","BG",2010,22.2280990735882,0.028,42009.4385277438,0.904,0.303658897187566,20.3684528444712,0,14956.4871777211,0.787,0,1025256.425,0
"AT","BG",2011,21.7032118932885,0.032,44452.7327457999,0.906,0.31748021039364,20.6592626167871,0,15747.0853813627,0.791,0,1025256.425,0
"AT","BG",2012,21.5538828166097,0.024,46457.3457770311,0.908,0.288449914061482,21.0009431571572,0,16327.8726078533,0.795,0,1025256.425,0
"AT","BG",2013,21.5969557305872,0.02,47922.0491207455,0.906,0.271441761659491,21.4980846008797,0,16647.0063974042,0.801,0,1025256.425,0
"AT","BG",2014,21.8698920097629,0.024,48799.7154676985,0.912,0.288449914061482,21.0563088946773,0,17616.913178474,0.806,0,1025256.425,0
"AT","BG",2015,22.4773284548461,0.024,49865.9039424185,0.916,0.288449914061482,21.3946979104669,0,18391.9274727456,0.809,0,1025256.425,0
"AT","BG",2016,22.0688164943146,0.024,52684.0171130768,0.918,0.288449914061482,21.1857396392034,0,20074.3553875617,0.81,0,1025256.425,1
"AT","BG",2017,22.2912589237933,0.024,54172.9867888254,0.92,0.288449914061482,21.1873081292666,0,21469.9454411605,0.811,0,1025256.425,1
"AT","BG",2018,22.7646133252742,0.028,56960.0914258929,0.921,0.303658897187566,21.2871102914213,0,23016.090640831,0.814,0,1025256.425,0
"AT","BG",2019,22.9999918606986,0.028,58076.348801448,0.921,0.303658897187566,21.4376939990374,0,24497.6272661983,0.816,0,1025256.425,1
"AT","BG",2020,23.5550276805035,0.028,55685.9702933361,0.925968142125103,0.303658897187566,22.7081777710629,0,24564.4376812432,0.823840357693823,0,1025256.425,1
"AT","CH",2009,22.0737561766214,0.02,40918.1321224314,0.895,0.271441761659491,20.9450288931073,0.208,53354.0046402285,0.935,0.592499213681474,452873.4886,1
"AT","CH",2010,22.2280990735882,0.028,42009.4385277438,0.904,0.303658897187566,21.5157901224618,0.196,54858.4480758362,0.941,0.58087857335637,452873.4886,5
"AT","CH",2011,21.7032118932885,0.032,44452.7327457999,0.906,0.31748021039364,21.434734379991,0.196,57987.5020305492,0.941,0.58087857335637,452873.4886,7
"AT","CH",2012,21.5538828166097,0.024,46457.3457770311,0.908,0.288449914061482,21.3311284898808,0.208,59933.5986829168,0.944,0.592499213681474,452873.4886,1
