"nuts2","year","pop","pop_im"
"AT11",2009,NA,291522.940067514
"AT11",2010,283697,283697
"AT11",2011,284581,284581
"AT11",2012,285782,285782
"AT11",2013,286691,286691
"AT11",2014,287416,287416
"AT11",2015,288356,288356
"AT11",2016,291011,291011
"AT11",2017,291942,291942
"AT11",2018,292675,292675
"AT11",2019,293433,293433
"AT11",2020,294436,294436
"AT12",2009,NA,1593381.18044094
"AT12",2010,1605897,1605897
"AT12",2011,1609474,1609474
"AT12",2012,1614455,1614455
"AT12",2013,1618592,1618592
"AT12",2014,1625485,1625485
"AT12",2015,1636778,1636778
"AT12",2016,1653691,1653691
"AT12",2017,1665753,1665753
"AT12",2018,1670668,1670668
"AT12",2019,1677542,1677542
"AT12",2020,1684287,1684287
"AT13",2009,NA,1656926.90386359
"AT13",2010,1689995,1689995
"AT13",2011,1702855,1702855
"AT13",2012,1717084,1717084
"AT13",2013,1741246,1741246
"AT13",2014,1766746,1766746
"AT13",2015,1797337,1797337
"AT13",2016,1840226,1840226
"AT13",2017,1867582,1867582
"AT13",2018,1888776,1888776
"AT13",2019,1897491,1897491
"AT13",2020,1911191,1911191
"AT21",2009,NA,548923.370539423
"AT21",2010,557998,557998
"AT21",2011,556718,556718
"AT21",2012,556027,556027
"AT21",2013,555473,555473
"AT21",2014,555881,555881
"AT21",2015,557641,557641
"AT21",2016,560482,560482
"AT21",2017,561077,561077
"AT21",2018,560898,560898
"AT21",2019,560939,560939
"AT21",2020,561293,561293
"AT22",2009,NA,1199323.31740219
"AT22",2010,1205045,1205045
"AT22",2011,1206611,1206611
"AT22",2012,1208696,1208696
"AT22",2013,1210971,1210971
"AT22",2014,1215246,1215246
"AT22",2015,1221570,1221570
"AT22",2016,1232012,1232012
"AT22",2017,1237298,1237298
"AT22",2018,1240214,1240214
"AT22",2019,1243052,1243052
"AT22",2020,1246395,1246395
"AT31",2009,NA,1395139.14740782
"AT31",2010,1409253,1409253
"AT31",2011,1410222,1410222
"AT31",2012,1413866,1413866
"AT31",2013,1418498,1418498
"AT31",2014,1425422,1425422
"AT31",2015,1437251,1437251
"AT31",2016,1453948,1453948
"AT31",2017,1465045,1465045
"AT31",2018,1473576,1473576
"AT31",2019,1482095,1482095
"AT31",2020,1490279,1490279
"AT32",2009,NA,528459.698414563
"AT32",2010,526730,526730
"AT32",2011,527886,527886
"AT32",2012,529704,529704
"AT32",2013,531898,531898
"AT32",2014,534270,534270
"AT32",2015,538575,538575
"AT32",2016,545815,545815
"AT32",2017,549263,549263
"AT32",2018,552579,552579
"AT32",2019,555221,555221
"AT32",2020,558410,558410
"AT33",2009,NA,696605.186501091
"AT33",2010,704662,704662
"AT33",2011,707517,707517
"AT33",2012,711581,711581
"AT33",2013,715888,715888
"AT33",2014,722038,722038
"AT33",2015,728826,728826
"AT33",2016,739139,739139
"AT33",2017,746153,746153
"AT33",2018,751140,751140
"AT33",2019,754705,754705
"AT33",2020,757634,757634
"AT34",2009,NA,366056.324504894
"AT34",2010,368366,368366
"AT34",2011,369300,369300
"AT34",2012,370926,370926
"AT34",2013,372603,372603
"AT34",2014,375282,375282
"AT34",2015,378592,378592
"AT34",2016,384147,384147
