"nuts2","year","n_res"
"AT12",2009,207
"AT13",2009,3222
"AT21",2009,117
"AT22",2009,881
"AT31",2009,293
"AT32",2009,236
"AT33",2009,618
"AT34",2009,23
"BE10",2009,1592
"BE21",2009,653
"BE22",2009,208
"BE23",2009,1397
"BE24",2009,1741
"BE25",2009,89
"BE31",2009,496
"BE32",2009,106
"BE33",2009,392
"BE34",2009,3
"BE35",2009,144
"BG31",2009,38
"BG32",2009,121
"BG33",2009,204
"BG34",2009,54
"BG41",2009,1235
"BG42",2009,237
"CH01",2009,2774
"CH02",2009,1087
"CH03",2009,921
"CH04",2009,2344
"CH05",2009,148
"CH06",2009,108
"CH07",2009,141
"CY00",2009,700
"CZ01",2009,3007
"CZ02",2009,58
"CZ03",2009,364
"CZ04",2009,45
"CZ05",2009,358
"CZ06",2009,1157
"CZ07",2009,586
"CZ08",2009,264
"DE11",2009,734
"DE12",2009,2021
"DE13",2009,919
"DE14",2009,902
"DE21",2009,2337
"DE22",2009,47
"DE23",2009,214
"DE24",2009,304
"DE25",2009,536
"DE26",2009,359
"DE27",2009,103
"DE30",2009,2814
"DE40",2009,691
"DE50",2009,762
"DE60",2009,1005
"DE71",2009,1091
"DE72",2009,539
"DE73",2009,168
"DE80",2009,410
"DE91",2009,1123
"DE92",2009,638
"DE93",2009,0
"DE94",2009,305
"DEA1",2009,678
"DEA2",2009,2327
"DEA3",2009,342
"DEA4",2009,337
"DEA5",2009,881
"DEB1",2009,34
"DEB2",2009,125
"DEB3",2009,702
"DEC0",2009,315
"DED2",2009,880
"DED4",2009,253
"DED5",2009,629
"DEE0",2009,554
"DEF0",2009,807
"DEG0",2009,672
"DK01",2009,3950
"DK02",2009,326
"DK03",2009,827
"DK04",2009,1419
"DK05",2009,481
"EE00",2009,728
"EL30",2009,2785
"EL41",2009,140
"EL42",2009,0
"EL43",2009,596
"EL51",2009,268
"EL52",2009,1583
"EL53",2009,51
"EL54",2009,263
"EL61",2009,259
"EL62",2009,35
"EL63",2009,779
"EL64",2009,37
"EL65",2009,36
"ES11",2009,2935
"ES12",2009,999
"ES13",2009,456
"ES21",2009,2210
"ES22",2009,883
"ES23",2009,165
"ES24",2009,1312
"ES30",2009,12615
"ES41",2009,3281
"ES42",2009,982
"ES43",2009,712
"ES51",2009,12876
"ES52",2009,4803
"ES53",2009,400
"ES61",2009,8718
"ES62",2009,1160
"ES63",2009,13
"ES64",2009,11
"ES70",2009,1038
"FI19",2009,1422
"FI1B",2009,2489
"FI1C",2009,856
"FI1D",2009,1073
"FI20",2009,0
"FR10",2009,9649
"FRB0",2009,487
"FRC1",2009,307
"FRC2",2009,211
"FRD1",2009,254
"FRD2",2009,219
"FRE1",2009,898
"FRE2",2009,223
"FRF1",2009,950
"FRF2",2009,170
"FRF3",2009,692
"FRG0",2009,797
"FRH0",2009,993
"FRI1",2009,935
"FRI2",2009,141
"FRI3",2009,321
"FRJ1",2009,1217
"FRJ2",2009,1508
"FRK1",2009,327
"FRK2",2009,3158
"FRL0",2009,1553
"FRM0",2009,30
"FRY1",2009,0
"FRY2",2009,0
"FRY3",2009,0
"FRY4",2009,0
"FRY5",2009,0
"HR02",2009,200
"HR03",2009,817
