"nuts2","year","flow_in","flow_out"
"HU11",2020,2346,2624
"UKJ1",2020,300,266
"UKJ1",2019,710,781
"UKH1",2019,1575,1375
"FRF1",2016,81,128
"FRJ2",2016,187,190
"UKJ2",2013,47,40
"UKJ1",2013,2665,2695
"UKH1",2018,258,261
"ITI1",2001,33,48
"ITH5",2001,146,195
"UKM7",2017,535,555
"FRL0",2008,166,264
"FR10",2020,539,540
"NL33",1996,408,274
"NL32",1996,7,6
"UKK1",2014,126,144
"FRK2",2014,231,220
"UKJ4",2018,25,52
"UKI0",2018,415,406
"PL21",2016,33,42
"PL82",2016,325,360
"NL31",2016,49,56
"NL32",2016,74,70
"UKJ1",2014,194,191
"NL32",2014,54,39
"FR10",2018,306,348
"ITI4",1999,22,33
"ITC4",1999,129,176
"FRK2",2002,125,98
"FR10",2002,185,245
"UKD3",2015,711,607
"FI1C",2018,37,31
"SE11",2018,89,86
"DE25",2016,713,784
"DE11",2016,376,407
"ES52",2020,234,259
"FRK2",2018,828,1030
"DE30",2021,2521,2310
"UKG1",2017,76,85
"CH01",2005,74,69
"UKE2",2002,54,31
"UKL1",2010,102,104
"UKL2",2010,18,42
"FR10",2006,240,287
"ES11",2006,11,11
"FI1B",2021,48,59
"FI1D",2021,68,28
"DE21",2016,93,85
"FRJ1",2010,21,23
"FR10",2010,421,480
"FRJ2",2021,66,81
"FR10",2021,104,95
"UKM7",1998,17,15
"DEA1",2015,180,247
"DE21",2015,135,140
"UKJ3",2020,177,239
"UKI0",2020,455,392
"UKC1",2018,196,203
"UKJ1",2018,142,137
"FRL0",2018,89,74
"FI19",2020,559,472
"FI1B",2020,1734,1344
"IE06",2014,420,471
"DE12",2014,677,650
"UKK4",2016,97,98
"ES61",2020,390,364
"DK01",2015,315,316
"DK04",2015,24,29
"ES52",1984,0,4
"ES51",1984,5,6
"PT18",2007,30,45
"PT16",2007,63,44
"UKH3",2015,17,20
"FRE1",2015,58,50
"FRI1",2015,122,186
"UKJ2",2012,32,45
"CH01",2012,60,44
"BE33",2020,54,61
"ITI1",2020,73,89
"DED4",2011,6,10
"DED2",2011,74,40
"UKC2",2020,1728,2018
"UKK1",2020,746,828
"FRJ1",2013,532,701
"DK01",2013,59,32
"SK03",2016,16,15
"DE21",2017,309,264
"DE91",1990,30,8
"DE60",1990,14,12
"DE11",2019,199,208
"ES24",2013,24,34
"FI1D",2016,192,180
"FI19",2016,508,576
"UKC1",2012,54,58
"DE71",2020,602,512
"SE22",2016,826,685
"SE11",2016,286,210
"FR10",2016,126,157
"DE12",2019,190,208
"UKM7",2015,170,201
"UKM8",2015,509,384
"DE60",2021,282,242
"NO06",2016,43,30
"ES30",1993,200,135
"ES11",1993,9,3
"DE60",2005,16,19
"RO41",2005,1,2
"FR10",1997,71,104
"UKC1",2020,46,68
"DE71",2017,168,191
"DE24",2017,19,23
"FRC2",2014,25,33
"DE26",2017,188,162
"CH01",2021,176,196
"UKJ1",2021,312,279
"DE50",2006,100,71
"CH01",2014,59,67
"ES30",2019,810,788
"LV00",2020,11,13
"DEA5",2009,15,13
"UKG1",2021,480,554
"UKH1",2021,85,100
"CY00",2020,360,329
"FI1D",2018,697,420
"FI19",2018,98,54
"FRI1",2005,681,816
"FRL0",2013,31,37
"HU11",2008,24,33
"PT11",2020,62,82
"PT30",2020,111,45
"UKH1",1986,4,15
"UKI0",1986,103,153
"DE40",2017,54,42
"UKE4",2020,156,158
"DE21",2020,502,448
"ES11",2015,260,288
"ES51",2015,111,89
"ES51",2014,174,214
"DEA4",2020,135,158
"LU00",2020,819,504
"UKG1",2015,330,384
"UKJ1",2015,698,636
"ES51",2010,156,129
"UKF1",2002,689,690
"PT11",2002,19,20
"ES42",2021,77,86
"ES23",2021,25,17
"UKI0",1974,11,7
"UKJ1",1974,102,75
"FR10",1999,456,490
"FR10",2013,328,438
"FRC1",2013,18,10
"CH01",2016,428,369
"DEF0",2016,529,495
"UKI0",2012,104,129
"ES42",2020,24,19
"UKN0",2015,485,598
"FI1C",2020,91,38
"PT16",2019,128,117
"FRF3",2019,577,608
"CH03",2018,304,213
"IE06",2018,97,83
"UKD6",2017,112,94
"DEE0",2019,159,164
"BE10",2018,93,95
"DE13",2006,3,12
"DEA1",2006,457,627
"FR10",2019,169,182
"BE23",2019,1190,1312
"UKF1",2018,968,903
"ES62",2019,25,28
"IE05",2014,64,40
"ES53",2016,165,121
"DE40",2016,145,136
"ES51",2012,59,65
"PT16",2020,1632,2057
"PT18",2020,32,15
"DE30",2018,112,118
"ES51",2019,137,229
"CH05",2018,23,21
"BE33",2014,129,144
"SE33",2020,572,534
"BE21",2020,73,44
"FI1B",2018,432,291
"BE24",2019,400,361
"BE24",2020,1465,1183
"DE11",2014,56,55
"UKI0",2014,136,148
"PT11",2019,90,83
"BE33",2002,1,8
"BE10",2002,11,12
"NL21",2019,210,244
"NL31",2019,670,700
"ES43",1994,21,15
"FRK2",2009,644,738
"UKF1",2012,51,40
"UKD7",2015,52,60
"ES30",2002,191,126
"EL30",2016,28,61
"CY00",2016,64,44
"FRI1",2021,624,965
"ES21",2021,135,108
"UKH1",2016,408,453
"UKI0",2016,554,531
"DE21",2021,83,75
"DEA5",2021,362,315
"NL33",2009,270,317
"NL32",2009,249,220
"DE27",2021,17,30
"DK01",1989,6,3
"DEA2",2017,118,110
"ITF1",2020,153,175
"ITI4",2020,166,192
"UKH2",2003,32,9
"DE13",2021,44,33
"ES24",2018,37,36
"ES51",2018,23404,23236
"DE13",2007,20,41
"DEA2",2007,18,20
"BG42",2017,24,13
"ES51",2016,284,259
"ES52",2016,191,183
"DE30",2016,108,91
"UKC2",2002,1280,881
"UKM7",2002,61,88
"UKK2",2018,288,208
"DED2",2014,25,18
"PL91",2011,135,117
"PL21",2011,77,70
"ES30",2012,156,193
"ES12",2012,59,77
"FRC2",2017,24,37
"BE31",2011,180,253
"BE33",2011,5,7
"UKH1",2017,1653,1680
"CZ06",2000,73,72
"DK01",2016,952,984
"UKM5",2009,14,22
"UKH2",2009,7,9
"SE21",2015,48,31
"DE13",2015,98,93
"UKE3",2014,46,44
"ITH4",2005,48,89
"DEB3",2005,15,18
"PT16",2018,231,222
"SE22",2002,128,161
"UKI0",2002,91,124
"DE24",1996,0,2
"UKI0",1996,69,86
"EL30",2021,138,211
"UKF1",2001,32,21
"UKC2",2001,9,8
"ITC4",2021,66,70
"ITI1",2021,1234,1125
"ES30",2016,5280,5513
"ES11",2016,75,70
"DE30",2017,942,800
"FRJ1",2017,504,676
"ITH3",2006,32,54
"ITI4",2006,97,120
"BE10",2019,464,393
"SE22",2019,12007,11310
"DE92",2015,150,127
"NO08",2017,229,180
"UKG3",2000,110,111
"UKF1",2000,17,15
"DK01",2019,777,720
"DE30",2019,148,112
"DK02",2015,22,32
"DE11",2018,53,52
"IE06",2016,99,69
"DE11",2017,46,43
"NL41",2018,86,86
"ITC4",2005,66,49
"ITI4",2005,217,228
"UKJ3",2002,24,29
"ES61",2011,385,356
"ES30",2011,77,51
"ES51",2017,435,393
"SE12",2001,9,8
"FRH0",2021,45,50
"PL91",2013,26,33
"PL61",2013,19,5
"FI1B",2017,225,148
"FI1C",2017,523,456
"ITH3",2017,784,859
"ITC4",2017,98,97
"UKJ1",2016,1422,1280
"PL21",2013,20,19
"DE12",2013,34,53
"FRJ2",2013,27,39
"PT16",2021,178,231
"FRI2",2018,12,43
"PT16",2015,442,252
"ES21",2016,185,200
"UKC1",2019,270,391
"DE92",2019,148,153
"ES51",2000,32,13
"ITC4",2019,19328,17820
"DEA1",2017,49,43
"ES30",2017,697,672
"NL31",2018,2109,2113
"NO09",2015,26,16
"NO08",2015,110,72
"UKI0",2011,195,214
"NL11",2020,690,515
"NL21",2020,71,72
"UKD3",2008,72,110
"UKI0",2008,321,320
"DED4",2018,39,57
"UKJ1",2003,33,42
"UKI0",2003,55,63
"UKG3",2018,79,66
"ITC1",2019,56,70
"UKE2",2019,2553,2345
"UKE4",2019,174,186
"DK03",2023,0,19
"ES61",2019,527,490
"IE05",2018,770,547
"PL81",2010,21,37
"UKC1",1996,15,22
"ITF4",2017,289,733
"ITF3",2017,39,41
"UKK2",2016,960,962
"UKH2",2016,42,46
"ITF4",2021,20,11
"NL21",2000,5,6
"NL22",2000,30,40
"ES41",2020,171,165
"ES21",2019,66,52
"DED2",2021,44,35
"NO0A",2021,140,85
"ITC1",2021,466,570
"DK01",2020,8658,7203
"NO06",2020,132,107
"DEA3",2020,698,696
"NL41",2021,175,188
"NL33",2021,6620,6525
"DEB3",2019,1332,1254
"ES51",2020,153,144
"SE22",2020,111,110
"CH04",2016,760,648
"ES41",2013,140,116
"UKD3",2014,156,132
"ITH5",2020,816,910
"SE11",2012,44,35
"SK01",2012,73,96
"ES61",2010,1254,1290
"ITF3",2019,228,181
"ITF2",2019,97,168
"UKM5",2015,161,200
"DE91",1996,85,196
"NO06",2019,201,172
"ITC1",2010,13,15
"UKM7",2018,106,132
"UKE3",2018,201,210
"ITC4",2015,132,175
"ITH5",2015,167,220
"NL22",2019,88,90
"UKH1",2013,74,81
"SE21",2005,72,64
"DEE0",2017,156,157
"DE14",2017,56,45
"HU23",2019,11,8
"ES22",2020,92,95
"ITG2",2020,95,116
"ITF3",2020,256,255
"ES21",2020,73,48
"DEF0",2011,920,737
"DE80",2011,13,27
"IE05",2001,10,5
"RO32",2001,47,184
"FRK1",2014,32,61
"UKC2",2014,364,255
"DEA2",2018,109,103
"RO42",2011,5,13
"RO32",2011,75,96
"DK01",2017,828,734
"DK05",2016,75,60
"DK04",2016,34,33
"ES30",2007,40,35
"ES24",2007,31,32
"DEA2",2021,72,69
"DE12",2010,114,108
"UKJ2",2004,24,36
"UKK4",2004,605,603
"UKI0",1992,28,29
"MT00",1992,16,28
"AT31",2017,16,24
"AT13",2017,111,84
"EL51",2020,12,15
"EL52",2020,479,544
"NL31",2014,124,128
"NL21",2014,175,234
"NL33",2018,120,102
