"receiver","year","count"
"UKJ1","2020","6856"
"UKH1","2019","324"
"FRJ2","2016","187"
"UKJ1","2013","841"
"ITH5","2001","36"
"UKM7","2017","535"
"FRL0","2008","16"
"FR10","2020","5915"
"NL32","1996","12"
"FRK2","2014","174"
"UKI5","2018","2626"
"PL82","2016","45"
"NL32","2016","704"
"NL32","2014","156"
"ITC4","1999","273"
"FR10","2002","29"
"SE11","2018","265"
"DE11","2016","138"
"FR10","2018","192"
"DE30","2021","169"
"UKG1","2017","76"
"CH01","2005","962"
"UKL2","2010","10"
"ES11","2006","11"
"FI1D","2021","68"
"DE21","2016","93"
"FR10","2010","145"
"FR10","2021","199"
"UKM7","1998","257"
"DE21","2015","336"
"UKI5","2020","1535"
"UKJ1","2018","1190"
"FRL0","2018","89"
"FI1B","2020","101"
"DE12","2014","1197"
"UKK4","2016","520"
"ES61","2020","294"
"DK04","2015","168"
"ES51","1984","32"
"PT16","2007","34"
"FRI1","2015","62"
"CH01","2012","355"
"ITI1","2020","433"
"DED2","2011","40"
"UKK1","2020","312"
"DK01","2013","59"
"SK03","2016","6"
"DE21","2017","208"
"DE60","1990","5"
"DE11","2019","52"
"ES24","2013","68"
"FI19","2016","46"
"SE11","2016","104"
"UKM8","2015","75"
"NO06","2016","238"
"ES11","1993","13"
"RO41","2005","1"
"FR10","1997","37"
"DE24","2017","70"
"FRC2","2014","9"
"DE26","2017","33"
"UKJ1","2021","1332"
"LV00","2020","241"
"DEA5","2009","141"
"UKH1","2021","1057"
"FI19","2018","98"
"FRI1","2005","41"
"PT30","2020","41"
"UKI5","1986","15"
"DE40","2017","104"
"DE21","2020","377"
"ES51","2015","1038"
"LU00","2020","139"
"UKJ1","2015","128"
"ES51","2010","105"
"PT11","2002","55"
"ES23","2021","25"
"UKJ1","1974","6"
"FR10","1999","72"
"FRC1","2013","18"
"DEF0","2016","49"
"ES42","2020","93"
"UKN0","2015","674"
"FI1C","2020","541"
"FRF3","2019","1009"
"IE06","2018","97"
"DEE0","2019","120"
"DEA1","2006","25"
"BE23","2019","450"
"UKC1","2018","193"
"IE06","2014","174"
"DE40","2016","73"
"PT18","2020","137"
"ES30","2019","3284"
"CH05","2018","67"
"BE33","2014","101"
"BE21","2020","1009"
"FI1D","2018","135"
"BE24","2020","121"
"UKI5","2014","271"
"BE10","2002","18"
"NL31","2019","538"
"UKD3","2015","480"
"ES30","2002","36"
"CY00","2016","296"
"ES21","2021","47"
"UKI5","2016","387"
"DEA5","2021","42"
"NL32","2009","95"
"DE27","2021","9"
"DEA2","2017","326"
"ITI4","2020","85"
"DE13","2021","124"
"ES51","2018","905"
"DEA2","2007","35"
"ES52","2016","191"
"DE30","2016","1062"
"UKM7","2002","16"
"DED2","2014","145"
"PL21","2011","21"
"ES12","2012","9"
"BE33","2011","41"
"UKH1","2017","171"
"CZ06","2000","37"
"DK01","2016","1342"
"UKH2","2009","13"
"DE13","2015","2178"
"PT11","2019","104"
"UKE3","2014","130"
"DEB3","2005","8"
"PT16","2018","1622"
"UKI5","2002","46"
"UKI5","1996","307"
"UKC2","2001","9"
"ITI1","2021","107"
"ES11","2016","137"
"DE30","2017","1176"
"DE71","2020","98"
"ITI4","2006","40"
"SE22","2019","346"
"NO08","2017","685"
"UKF1","2000","81"
"DE30","2019","858"
"DK02","2015","19"
"IE06","2016","4051"
"NL41","2018","86"
"ITI4","2005","127"
"ES30","2011","77"
"ES51","2017","147"
"ES30","2012","1278"
"FRH0","2021","309"
"PL61","2013","49"
"FI1C","2017","37"
"ITC4","2017","359"
"UKJ1","2016","1564"
"DE12","2013","34"
"PT16","2021","60"
"FI1C","2018","829"
"PT16","2015","347"
"DE92","2019","50"
"ES51","2000","422"
"FRK2","2018","367"
"ES30","2017","117"
"NO08","2015","370"
"UKI5","2011","389"
"NL21","2020","38"
"UKI5","2008","84"
"DED4","2018","687"
"UKI5","2003","55"
"UKE4","2019","1294"
"ES61","2019","1145"
"ITF3","2017","39"
"UKH2","2016","42"
"NL22","2000","107"
"ES41","2020","226"
"ES21","2019","66"
"ITC1","2021","528"
"DEA3","2020","31"
"NL33","2021","84"
"DEB3","2019","72"
"SE22","2020","58"
"CH04","2016","760"
"PT16","2019","1825"
"UKD3","2014","80"
"SK01","2012","55"
"ES61","2010","123"
"ITF2","2019","53"
"UKM5","2015","65"
"DE91","1996","4"
"NO06","2019","51"
"UKE3","2018","69"
"ITH5","2015","50"
"UKH1","2013","429"
"DE14","2017","551"
"ITF3","2020","358"
"ES21","2020","1459"
"DE80","2011","5"
"RO32","2001","3"
"DEA2","2018","639"
"RO32","2011","15"
"DK04","2016","62"
"ES24","2007","185"
"DEA2","2021","214"
"DE12","2010","114"
"UKK4","2004","29"
"MT00","1992","3"
"AT13","2017","919"
"EL52","2020","283"
"NL21","2014","213"
"AT13","2018","245"
"NO08","2020","181"
"ITI1","2006","16"
"AT31","2019","226"
"ES52","1996","18"
"UKJ2","1983","9"
"DE60","2017","67"
"UKM7","2019","120"
"ES30","2016","14918"
"PT16","2020","492"
"BE31","1999","2"
"ITC1","2020","368"
"PL71","2014","25"
"SE33","2020","130"
"NL11","2017","65"
"DE91","2010","1201"
"UKJ1","1994","89"
"CZ01","2016","381"
"UKI5","2015","183"
"UKK1","2019","355"
"UKI5","2019","1142"
"DK05","2019","64"
"FRJ2","2018","596"
"DEF0","2020","225"
"FRE1","2005","73"
"UKJ1","2019","149"
"PT16","2010","729"
"UKG1","2020","1522"
"UKL1","2004","85"
"BE32","2010","2"
"HU21","2017","9"
"BE10","2020","97"
"CH01","2018","402"
"SI04","2005","7"
"SE11","2015","537"
"IE06","2017","218"
"UKK1","2018","125"
"UKH1","2018","4101"
"DEG0","2001","5"
"PT17","2017","21"
"UKM7","1997","37"
"PT16","2013","366"
"ES51","2013","143"
"DK05","2005","3"
"PL41","2014","18"
"DK01","1980","76"
"SE22","2018","3687"
"FI19","2020","85"
"DEA2","1975","9"
"FRH0","2016","413"
"DEF0","2018","200"
"DK04","2019","226"
"UKM8","2018","372"
"DK01","1995","1568"
"UKK2","2020","179"
"DE71","2018","319"
"ITI4","2019","978"
"NL22","2015","52"
"UKJ3","2016","358"
"FRC2","2016","13"
"ITC4","2014","222"
"UKJ1","2022","6"
"NO0B","2021","1"
"ES52","2015","61"
"UKF1","2017","147"
"ITC1","2016","88"
"ES30","2021","1057"
"UKK4","2018","179"
"PT11","2020","673"
"ES52","2012","26"
"UKH1","2015","254"
"ES52","2020","83"
"FRE2","2011","9"
"MT00","2015","8"
"UKG1","2015","90"
"ES51","2016","424"
"UKC2","2016","990"
"SE22","2017","913"
"UKJ1","1990","18"
"ES51","2020","1526"
"ES61","2018","114"
"PT20","2020","11"
"UKE4","2021","55"
"BG33","2020","4"
"DE13","2019","171"
"FRK2","2016","221"
"UKI5","2021","762"
"PL91","2009","141"
"PT17","2014","94"
"CH01","2020","177"
"DE60","2018","11478"
"DEA5","2017","58"
"DE91","2021","308"
"NL41","2011","556"
"DEA2","2019","232"
"UKM8","2017","180"
"EL51","2012","6"
"DE71","2019","741"
"UKJ2","2018","147"
"DK01","2019","362"
"BE23","2003","30"
"UKG1","2018","292"
"UKL2","2019","61"
"ES24","2019","44"
"UKG2","2019","26"
"FRL0","2019","94"
"BG41","1979","38"
"FR10","2016","287"
"NL21","2019","40"
"DE11","2018","261"
"NL22","2011","357"
"ES52","2019","229"
"ES61","2005","58"
"UKE4","2016","1093"
"NO0A","2020","51"
"BG42","2000","25"
"SE23","2021","25"
"NL22","2019","91"
"DEG0","2018","45"
"ITG1","2020","118"
"DEA1","2013","70"
"BE10","2015","68"
"SI04","2008","8"
"UKE1","2016","49"
"SE12","2021","721"
"FRK1","2016","817"
"IE05","2020","150"
"CH01","2014","1412"
"CZ07","2005","13"
"DE92","2003","349"
"UKE4","2018","1850"
"FR10","2012","77"
"PL91","2020","263"
"UKI5","2013","1095"
"UKM5","2020","131"
"IE05","2018","132"
"ES30","2014","713"
"UKG1","2016","84"
"AT13","2011","251"
"NL33","2020","4875"
"ITC4","2020","435"
"FR10","2017","3440"
"LT01","2007","21"
"FRJ2","2011","645"
"UKD7","2019","309"
"ES52","2018","74"
"AT13","2019","127"
"SK03","2003","11"
"DE40","2011","30"
"NL11","2019","296"
"SE12","2014","55"
"FRI3","2016","17"
"FI1C","2009","49"
"UKJ1","2002","130"
"DK01","2017","109"
"DE40","2021","40"
"UKE4","2015","277"
"PL43","2018","41"
"FI1D","2015","66"
"BE25","2020","17"
"ES52","2021","2072"
"PL43","2009","12"
"UKE1","2018","39"
"PL52","2014","162"
"SE11","2014","239"
"LU00","2019","521"
"UKF1","2016","103"
"UKL1","2018","259"
"SE11","2021","386"
"NL22","2013","267"
"ITC4","2015","200"
"UKM8","2020","75"
"UKK2","1998","8"
"PT16","2002","73"
"UKN0","2006","12"
"DEA5","2016","177"
"PT11","2016","252"
"EL43","2014","537"
"PL41","2019","37"
"UKJ1","1995","365"
"SE11","2013","57"
"UKI5","2005","53"
"SE12","2017","147"
"AT31","2010","103"
"DE25","2018","187"
"ITH1","2016","168"
"EE00","2018","39"
"UKH2","2018","155"
"ES13","2020","84"
"UKJ1","2014","193"
"ES30","2005","159"
"CH01","2017","385"
"ES51","2007","1403"
"ES30","2020","985"
"PT30","2008","4"
"ITH5","2014","541"
"CH02","2011","169"
"DED2","2020","652"
"DE23","2020","64"
"DED4","2004","7"
"CH04","2012","46"
"UKD7","2005","13"
"BE10","2018","464"
"FI1C","2016","26"
"UKL1","2020","136"
"UKN0","2020","378"
"UKE2","2003","12"
"CZ01","2014","41"
"UKF1","1996","4"
"CH01","2016","2661"
"UKH1","2016","1012"
"CY00","2019","166"
"PT15","2018","42"
"UKG1","2011","632"
"DE26","2020","55"
"SE23","2019","26"
"UKM8","1965","1"
"DE92","2000","21"
"DE21","2019","751"
"UKD3","2018","90"
"UKJ1","2009","112"
"UKH1","2012","60"
"IE04","2017","777"
"UKE3","2003","11"
"NL22","2020","290"
"UKD6","2020","44"
"UKK1","2003","31"
"HU11","2017","589"
"DEA5","2006","6"
"UKE3","2009","28"
"EL52","2016","85"
"CH02","2017","1409"
"HR03","2016","30"
"PL51","2018","47"
"CZ02","2018","106"
"BE31","2020","102"
"ES70","2019","28"
"PT11","2017","277"
"UKI5","2017","990"
"ITF3","2018","116"
"FR10","2019","190"
"ITG2","2019","164"
"PL84","2007","1"
"DEB3","2021","478"
"AT31","1997","1"
"CH02","2009","409"
"FR10","2011","2481"
"DEB3","2018","57"
"FRI1","2019","126"
"FRF3","2013","100"
"DEA2","2011","61"
"IS00","2018","93"
"UKF1","2021","141"
"IE05","2011","19"
"PL61","2018","956"
"DE14","2016","385"
"UKG3","2016","1861"
"DE23","2017","235"
"EL30","2014","474"
"ITF3","2015","87"
"NL33","2018","486"
"DE91","2020","70"
"NO08","2008","244"
"DE12","2015","436"
"UKJ3","2019","4227"
"FRC1","2019","13"
"DE21","2018","3564"
"ITC3","2018","194"
"EL63","2014","15"
"ES30","2010","46"
"NL22","2018","90"
"ES61","2015","137"
"DE60","2016","59"
"DE12","2017","622"
"ITI1","2011","223"
"BE21","2021","71"
"NO0A","2018","66"
"PL91","2007","16"
"DE94","2018","93"
"BE35","2018","46"
"ITH3","2017","338"
"SE22","2006","8"
"UKE3","2015","1780"
"IE06","2013","219"
"UKC2","2014","53"
"FRH0","2014","401"
"RO32","1997","128"
"CH04","2019","136"
"SE23","2020","33"
"UKI5","1990","182"
"BE24","2014","1296"
"UKD3","2019","838"
"FR10","2004","36"
"FRE1","2014","449"
"AT22","2011","14"
"DEF0","2013","20"
"CH04","2020","620"
"NL33","2017","1029"
"UKN0","2019","47"
"EL53","2018","17"
"UKD7","2018","84"
"DE12","2018","304"
"PL91","2010","92"
"UKJ1","1977","17"
"UKH1","1998","11"
"ES61","2017","515"
"DEA5","2019","72"
"UKL2","1989","31"
"PT11","1997","17"
"AT13","2020","163"
"UKJ3","2014","217"
"ES51","2004","166"
"ITH4","2004","94"
"UKK1","2011","31"
"DE40","2005","31"
"UKG3","1972","3"
"IE04","2014","12"
"PT17","2020","60"
"ITI3","2008","17"
"CY00","2020","119"
"UKL1","2014","100"
"UKG3","2015","1049"
"CH01","2004","43"
"DE13","2020","62"
"ITH3","2004","20"
"UKH3","2014","22"
"UKM5","2018","147"
"ES11","1992","83"
"UKE4","2014","332"
"CH03","2009","20"
"SE32","2019","124"
"FR10","2014","2785"
"SE12","2018","777"
"DE12","2020","275"
"PT11","2018","382"
"UKG3","2014","873"
"ES41","2006","67"
"ES30","2004","100"
"ES30","2018","932"
"FRL0","2020","1276"
"PL21","2019","59"
"ES11","2011","39"
"UKI5","2023","61"
"EL30","2000","12"
"UKK4","2003","11"
"UKJ1","1998","24"
"ES30","2009","235"
"ES23","2019","51"
"ES51","2019","3992"
"IE05","2019","176"
"PL81","2002","8"
"FR10","2007","81"
"AT22","2007","65"
"UKJ2","1992","17"
"PT11","2015","142"
"PT15","2020","38"
"UKK1","2016","191"
"UKE3","2019","150"
"PL42","2014","40"
"DED2","2009","92"
"PL41","2018","75"
"UKD7","2013","653"
"IE05","2004","572"
"UKM8","2019","448"
"UKJ2","2020","476"
"DE23","1988","1"
"UKM6","1996","1"
"ES42","2019","65"
"NL21","2018","356"
"PT16","2017","537"
"ITH4","2018","1718"
"DEE0","2017","1753"
"CH01","2000","17"
"UKC1","2021","401"
"NL42","2019","59"
"UKH3","2018","75"
"BE24","2017","79"
"UKF1","2009","27"
"DE60","2020","1225"
"DE25","2021","119"
"NL11","2016","140"
"DK01","2018","2813"
"CH04","2018","131"
"NL22","2017","588"
"FRF1","2018","190"
"DEA2","2015","2312"
"FRK2","1999","54"
"ITF4","2018","85"
"DK01","2007","37"
"PL91","2019","526"
"NL21","1998","3"
"ITH4","2019","82"
"DE30","2020","657"
"UKJ1","2000","78"
"UKJ2","2009","20"
"EL30","2019","59"
"PT16","2008","41"
"UKJ1","2001","28"
"CZ01","2019","12485"
"DEB3","2020","56"
"ES51","2014","102"
"SE12","2009","38"
"ITF4","1992","4"
"UKC2","2002","16"
"PT20","2015","11"
"UKD7","2015","52"
"DE21","2021","83"
"DE91","2018","71"
"SE11","2017","90"
"DE92","2014","38"
"DED5","2018","43"
"NL32","2019","325"
"DK04","2001","2"
"SE12","2005","18"
"CH03","2015","61"
"UKK1","2004","10"
"PL41","2017","100"
"NL11","2018","73"
"BG41","2010","38"
"PL51","2014","175"
"SI04","2020","229"
"PL82","2020","17"
"SE11","2007","25"
"UKG1","2019","399"
"PL52","2004","17"
"DED2","2021","46"
"DED5","2020","524"
"CZ08","2008","5"
"UKH3","2012","7"
"EL54","2016","10"
"SE33","2018","375"
"SE12","2020","157"
"ES43","2020","12"
"UKG3","2018","82"
"DE80","2009","7"
"ITF1","2015","13"
"SE22","2016","349"
"DE80","2020","29"
"SE11","2020","152"
"PT17","2010","9"
"EL51","2014","15"
"UKF1","2018","349"
"PT11","1988","3"
"NL41","2019","60"
"SE12","1968","1"
"PT15","2021","49"
"IE05","2013","22"
"BG31","2020","3"
"SE23","1986","1"
"DE40","2020","221"
"DE21","1983","5"
"EL52","2017","23"
"LT02","2017","13"
"CH04","2021","794"
"UKG1","2009","62"
"BE23","2018","294"
"MT00","2003","2"
"DK01","2020","368"
"UKG3","2006","49"
"FRK2","1997","17"
"UKK1","2012","394"
"IE06","2015","66"
"ES43","2019","145"
"DEA1","2016","28"
"UKD1","2020","25"
"BE24","2019","199"
"UKH1","2010","38"
"FI1B","2019","77"
"PL21","2001","5"
"DE12","2011","25"
"DE11","2017","50"
"IE04","2020","29"
"PT16","2012","1857"
"ES70","1997","10"
"UKM8","2012","39"
"UKM7","2020","147"
"RO11","2014","17"
"DE50","2008","40"
"ES70","2018","31"
"IS00","2019","63"
"IE06","2019","229"
"BE24","2018","1678"
"DE50","2018","801"
"FRF1","2021","146"
"UKK3","2007","10"
"ITH3","2019","670"
"UKF1","2020","1682"
"FRD2","2015","9"
"DE24","2019","56"
"DE91","2019","80"
"ITC4","2018","212"
"BE22","2016","51"
"NO0A","2019","133"
"SE12","2010","115"
"PT17","2000","5"
"HU32","2011","2"
"FRK2","1976","1"
"ITC4","2019","138"
"NL31","2018","127"
"EL61","2019","125"
"PL21","2017","3405"
"ITG2","2016","49"
"CH01","2013","56"
"UKE4","2000","10"
"ITG2","2015","205"
"DEA2","2020","109"
"SE21","2014","57"
"FRC2","2015","24"
"PL51","2000","60"
"UKD3","2011","41"
"CH01","2011","162"
"UKJ1","2017","6694"
"FRK2","2011","65"
"UKJ2","2008","165"
"UKH1","2001","44"
"UKE2","2019","72"
"CH04","2014","230"
"UKH1","2014","165"
"UKJ1","2003","129"
"UKJ2","2013","656"
"ES11","2018","6478"
"DE71","2017","4130"
"SE11","2009","61"
"SE11","2019","567"
"DE21","2007","14"
"DE80","2018","683"
"PT11","2013","48"
"IE04","2019","101"
"BE21","2013","42"
"PT17","2016","325"
"UKN0","2016","593"
"ES42","2013","19"
"UKF1","2011","42"
"DE14","2020","2316"
"DE30","2014","72"
"UKN0","2018","172"
"UKJ2","2010","175"
"IS00","1992","4"
"DEG0","1970","1"
"NL33","1998","115"
"UKE4","2017","90"
"DK05","2017","24"
"SE21","2017","203"
"FR10","2013","82"
"DE30","2015","6084"
"PT18","2019","40"
"SE22","2009","21"
"ES61","1979","2"
"UKG1","2008","114"
"ES51","2021","108"
"NL42","2018","42"
"UKD3","2016","85"
"NL33","1993","11"
"UKK4","2014","65"
"PT16","2016","346"
"DE94","2019","314"
"EL52","1985","2"
"UKF1","2015","120"
"DK01","2023","29"
"ES13","2007","51"
"UKJ3","2008","10"
"SE22","2014","984"
"HR03","2007","31"
"BE24","2021","83"
"UKD4","2020","43"
"UKG1","1999","38"
"IE05","2007","12"
"PL91","2018","97"
"UKG1","2001","85"
"ES43","2002","19"
"UKH1","1992","104"
"NO08","1993","25"
"DE60","2004","9"
"FRK1","2015","13"
"NL11","2021","174"
"ITI4","2014","99"
"DE71","2015","367"
"UKK2","2015","185"
"FRE2","2012","15"
"FRB0","2019","107"
"DE40","1992","7"
"CZ01","2020","1108"
"DK03","2018","94"
"FRB0","2017","65"
"UKM8","2010","101"
"RO11","2018","15"
"FI19","2019","424"
"IE06","2020","2148"
"CZ06","2019","271"
"FRJ1","2021","285"
"DE30","2013","628"
"ITF3","2005","83"
"FRK2","2020","375"
"EL30","2020","735"
"HU11","2010","25"
"DEA2","2006","14"
"UKC1","2020","47"
"PT16","2014","141"
"BE10","2009","53"
"BE31","2016","24"
"EL30","2021","67"
"PT17","2019","124"
"ITC4","2021","82"
"UKM7","2003","74"
"UKD1","2016","6"
"DK01","2014","163"
"DEE0","2020","63"
"UKD3","1985","12"
"NL33","2003","32"
"BE23","2014","101"
"UKD3","2012","85"
"NL32","2012","81"
"PT16","2011","95"
"AT12","2016","33"
"PL22","2005","9"
"ES41","2017","48"
"AT13","2010","157"
"UKD4","2010","18"
"ES41","2003","107"
"BE22","2020","62"
"DE91","1994","4"
"ES11","2019","358"
"AT13","2015","83"
"NO08","2004","154"
"HU23","2017","1171"
"AT33","1985","1"
"ES30","1991","15"
"PL51","2015","209"
"DK01","2015","1744"
"PT11","2014","57"
"ITH4","2020","49"
"NL11","2020","549"
"PL61","2002","5"
"UKF1","2013","301"
"ES70","2012","9"
"DK01","2010","382"
"FRB0","2015","14"
"DEF0","2021","134"
"NL32","2000","82"
"PL91","2016","269"
"ES23","2016","64"
"UKG3","2012","169"
"ITH4","2010","38"
"FR10","2015","229"
"UKD4","2019","169"
"DE21","2012","46"
"FRC1","2008","10"
"ITH5","2012","44"
"UKI5","2000","181"
"AT31","2014","651"
"NL31","2001","33"
"BE21","2019","2442"
"ITC4","1993","74"
"UKJ3","2011","57"
"UKL2","2013","247"
"UKF3","2006","5"
"PL42","2018","45"
"ITH4","2017","257"
"CY00","2002","20"
"UKH3","2019","87"
"NL22","2009","33"
"UKF1","2019","93"
"UKF1","2010","31"
"FRD1","2020","637"
"UKK4","2011","338"
"UKJ4","2016","337"
"ITF4","2020","47"
"BE10","2019","1041"
"ITG1","1991","3"
"FRK2","2013","57"
"ITH5","2021","793"
"ES12","2017","64"
"FI1D","2009","73"
"ES11","2004","43"
"PL63","2008","65"
"PT15","2016","18"
"NL33","2019","717"
"ES63","2013","2"
"DE71","2009","1236"
"NL11","2002","3"
"UKH1","2007","101"
"HR03","2008","7"
"PL63","2016","24"
"DE11","2014","57"
"ES30","1998","1442"
"ITH3","2020","392"
"FRH0","2013","600"
"EL52","2015","2783"
"DE23","2018","20"
"DEA1","2019","346"
"ES52","1995","23"
"DK01","2021","764"
"DE71","2021","111"
"UKI5","1998","129"
"FRH0","2017","1226"
"FRD1","2016","17"
"UKK1","2009","37"
"CH03","2011","85"
"BE23","2016","545"
"FRH0","1990","5"
"FRL0","2012","53"
"ITI1","2015","125"
"DEF0","2003","44"
"NL31","2015","71"
"FI1B","2000","11"
"UKE4","1997","23"
"DE12","2021","328"
"UKD3","2002","15"
"ES61","2000","93"
"DE71","1957","1"
"UKG2","2020","19"
"ES51","2009","50"
"ES51","2005","256"
"UKI5","2012","105"
"ITH5","2005","42"
"DE92","2020","48"
"ES41","2018","57"
"FRB0","2020","76"
"ITF3","2009","21"
"MT00","2013","55"
"PL72","2016","46"
"DEA2","2012","235"
"SE12","2012","180"
"IS00","2002","741"
"CH01","2021","89"
"NL32","2017","83"
