"sender","year","count"
"HU11","2020","2624"
"UKJ1","2019","340"
"FRF1","2016","212"
"UKJ2","2013","390"
"UKH1","2018","386"
"ITI1","2001","78"
"NL33","1996","10"
"UKK1","2014","1648"
"UKJ4","2018","91"
"PL21","2016","116"
"NL31","2016","596"
"UKJ1","2014","473"
"FR10","2018","1761"
"ITI4","1999","49"
"FRK2","2002","649"
"UKD3","2015","71"
"FI1C","2018","91"
"DE25","2016","138"
"ES52","2020","87"
"FRK2","2018","260"
"UKE2","2002","6"
"UKL1","2010","682"
"FR10","2006","59"
"FI1B","2021","59"
"FRJ1","2010","39"
"FRJ2","2021","45"
"DEA1","2015","83"
"UKJ3","2020","167"
"UKC1","2018","779"
"FI19","2020","200"
"IE06","2014","330"
"FR10","2020","1617"
"DK01","2015","68"
"ES52","1984","3"
"PT18","2007","97"
"UKH3","2015","210"
"FRE1","2015","74"
"UKJ2","2012","397"
"BE33","2020","901"
"DED4","2011","10"
"UKC2","2020","191"
"FRJ1","2013","151"
"DE91","1990","8"
"FI1D","2016","48"
"UKC1","2012","96"
"DE71","2020","74"
"SE22","2016","61"
"FR10","2016","290"
"DE12","2019","109"
"UKM7","2015","107"
"DE60","2021","242"
"ES30","1993","31"
"DE60","2005","10"
"UKC1","2020","68"
"DE71","2017","380"
"CH01","2021","196"
"DE50","2006","22"
"CH01","2014","133"
"ES30","2019","526"
"UKG1","2021","59"
"CY00","2020","65"
"FI1D","2018","324"
"FRL0","2013","819"
"HU11","2008","103"
"PT11","2020","994"
"UKH1","1986","26"
"UKE4","2020","314"
"ES11","2015","148"
"ES51","2014","119"
"DEA4","2020","65"
"DE21","2017","268"
"UKG1","2015","754"
"UKF1","2002","27"
"ES42","2021","14"
"UKI5","1974","12"
"FR10","2013","654"
"CH01","2016","93"
"UKI5","2012","129"
"UKI5","2020","391"
"UKJ1","2020","133"
"PT16","2019","117"
"UKI5","2018","811"
"CH03","2018","1697"
"UKD6","2017","159"
"BE10","2018","2390"
"DE13","2006","12"
"FR10","2019","534"
"UKF1","2018","247"
"ES62","2019","163"
"IE05","2014","70"
"ES53","2016","33"
"ES51","2012","121"
"PT16","2020","977"
"DE30","2018","2786"
"ES51","2019","551"
"FRK2","2014","381"
"SE33","2020","575"
"FI1B","2018","153"
"BE24","2019","91"
"DE11","2014","55"
"PT11","2019","164"
"BE33","2002","36"
"NL21","2019","244"
"ES43","1994","3"
"FRK2","2009","322"
"UKF1","2012","40"
"UKD7","2015","108"
"EL30","2016","61"
"FRI1","2021","151"
"UKH1","2016","153"
"DE21","2021","221"
"NL33","2009","38"
"DE30","2021","229"
"DK01","1989","7"
"ITF1","2020","42"
"UKH2","2003","7"
"ES24","2018","261"
"DE13","2007","9"
"BG42","2017","13"
