geo;year;gdp
AT;2009;40918.13212
AT;2010;42009.43853
AT;2011;44452.73275
AT;2012;46457.34578
AT;2013;47922.04912
AT;2014;48799.71547
AT;2015;49865.90394
AT;2016;52684.01711
AT;2017;54172.98679
AT;2018;56960.09143
AT;2019;58076.3488
AT;2020;55685.97029
AT1;2009;42459.97478
AT1;2010;43433.48729
AT1;2011;45413.87291
AT1;2012;47071.86093
AT1;2013;48298.40029
AT1;2014;48924.84294
AT1;2015;49740.92674
AT1;2016;52812.82889
AT1;2017;53657.05358
AT1;2018;56437.52178
AT1;2019;57557.80997
AT1;2020;55423.91867
AT11;2009;26922.9449
AT11;2010;28006.29235
AT11;2011;29555.06015
AT11;2012;31586.07901
AT11;2013;32993.45267
AT11;2014;33659.29093
AT11;2015;34743.6624
AT11;2016;36840.16845
AT11;2017;38437.02396
AT11;2018;39976.57793
AT11;2019;40834.93275
AT11;2020;39569.79536
AT12;2009;33446.12539
AT12;2010;34177.17033
AT12;2011;36162.8988
AT12;2012;37854.1336
AT12;2013;39015.0714
AT12;2014;39915.6647
AT12;2015;40992.52254
AT12;2016;43151.94556
AT12;2017;45015.17236
AT12;2018;47161.91056
AT12;2019;48483.38047
AT12;2020;46252.1118
AT13;2009;53727.28653
AT13;2010;54707.20667
AT13;2011;56827.4124
AT13;2012;58378.9398
AT13;2013;59463.48503
AT13;2014;59560.67837
AT13;2015;60114.03458
AT13;2016;63890.64178
AT13;2017;63846.73443
AT13;2018;67150.19953
AT13;2019;68187.85596
AT13;2020;66037.00948
AT2;2009;35462.38117
AT2;2010;36431.9142
AT2;2011;38806.03426
AT2;2012;40926.70938
AT2;2013;42025.88077
AT2;2014;43043.85159
AT2;2015;43742.021
AT2;2016;46372.24
AT2;2017;48368.7382
AT2;2018;50558.61326
AT2;2019;51983.51757
AT2;2020;50182.88617
AT21;2009;34276.34836
AT21;2010;35245.2069
AT21;2011;37844.89409
AT21;2012;39328.96997
AT21;2013;40395.0257
AT21;2014;41417.19441
AT21;2015;41867.36296
AT21;2016;43796.00445
AT21;2017;45789.07217
AT21;2018;48598.97709
AT21;2019;49650.09284
AT21;2020;48348.5248
AT22;2009;36055.39758
AT22;2010;37025.26785
AT22;2011;39286.60435
AT22;2012;41664.12756
AT22;2013;42778.58312
AT22;2014;43919.74392
AT22;2015;44616.86142
AT22;2016;47531.546
AT22;2017;49529.58792
AT22;2018;51342.46773
AT22;2019;53020.59522
AT22;2020;51100.06686
AT3;2009;42341.3715
AT3;2010;43552.15802
AT3;2011;46495.1556
AT3;2012;48915.4064
AT3;2013;50807.4081
AT3;2014;51927.90236
AT3;2015;53365.26562
AT3;2016;56290.74689
AT3;2017;58042.48585
AT3;2018;61271.29101
AT3;2019;61965.39002
AT3;2020;59092.64142
AT31;2009;40443.719
AT31;2010;41772.09707
AT31;2011;44693.01779
AT31;2012;46826.05487
AT31;2013;48925.65224
AT31;2014;49925.86275
AT31;2015;50740.74436
AT31;2016;53585.69956
AT31;2017;55333.83651
AT31;2018;58527.80036
AT31;2019;59243.06117
AT31;2020;57258.28004
AT32;2009;46966.89948
AT32;2010;49248.35308
AT32;2011;52141.85409
AT32;2012;55306.36402
AT32;2013;56452.67567
AT32;2014;57183.25633
AT32;2015;59114.21695
AT32;2016;62988.95934
AT32;2017;64749.61754
AT32;2018;67672.76917
AT32;2019;69224.93362
AT32;2020;65381.88041
AT33;2009;42459.97478
AT33;2010;43077.4751
AT33;2011;45654.15796
AT33;2012;48546.69731
AT33;2013;50556.50732
AT33;2014;51552.51993
AT33;2015;53240.28842
AT33;2016;56161.93511
AT33;2017;57526.55264
AT33;2018;60487.43654
AT33;2019;62095.02472
AT33;2020;57782.38329
AT34;2009;42341.3715
AT34;2010;43196.14583
AT34;2011;46254.87056
AT34;2012;48177.98821
AT34;2013;50681.95771
AT34;2014;52678.66721
AT34;2015;55864.80968
AT34;2016;56805.994
AT34;2017;59332.31886
AT34;2018;64276.06647
AT34;2019;61965.39002
AT34;2020;59878.79629
BE;2009;37749.50954
BE;2010;39840.0882
BE;2011;40942.37271
BE;2012;42290.76205
BE;2013;43671.11959
BE;2014;44929.68559
BE;2015;46200.90445
BE;2016;48597.39998
BE;2017;50442.27054
BE;2018;52535.23222
BE;2019;54278.38945
BE;2020;53070.21482
BE1;2009;71735.82809
BE1;2010;74894.58021
BE1;2011;74680.80887
BE1;2012;76803.91269
BE1;2013;78533.57586
BE1;2014;80499.02002
BE1;2015;82662.15878
BE1;2016;85301.22576
BE1;2017;88370.72972
BE1;2018;90730.82289
BE1;2019;93682.41256
BE1;2020;91666.73469
BE10;2009;71735.82809
BE10;2010;74894.58021
BE10;2011;74680.80887
BE10;2012;76803.91269
BE10;2013;78533.57586
BE10;2014;80499.02002
BE10;2015;82662.15878
BE10;2016;85301.22576
BE10;2017;88370.72972
BE10;2018;90730.82289
BE10;2019;93682.41256
BE10;2020;91666.73469
BE2;2009;37631.90982
BE2;2010;39600.80839
BE2;2011;40942.37271
BE2;2012;42533.81241
BE2;2013;44043.31663
BE2;2014;45179.29496
BE2;2015;46700.37369
BE2;2016;49364.72735
BE2;2017;51345.32909
BE2;2018;53317.39448
BE2;2019;54930.77394
BE2;2020;53606.2776
BE21;2009;43982.2946
BE21;2010;46420.28294
BE21;2011;47906.17804
BE21;2012;49582.27275
BE21;2013;51239.12611
BE21;2014;52417.96653
BE21;2015;54442.14687
BE21;2016;57421.66472
BE21;2017;59472.85606
BE21;2018;61790.81904
BE21;2019;63933.67988
BE21;2020;62987.37617
BE22;2009;29987.92814
BE22;2010;31943.8545
BE22;2011;33498.30494
BE22;2012;34391.62546
BE22;2013;35482.78467
BE22;2014;37066.99061
BE22;2015;37335.32549
BE22;2016;39517.35946
BE22;2017;41282.67666
BE22;2018;42888.56427
BE22;2019;43840.23763
BE22;2020;42616.99069
BE23;2009;33986.31855
BE23;2010;35772.33144
BE23;2011;36980.20761
BE23;2012;38280.43117
BE23;2013;39825.08349
BE23;2014;40561.52172
BE23;2015;42205.15056
BE23;2016;44504.98735
BE23;2017;46572.01961
BE23;2018;47972.619
BE23;2019;49320.26734
BE23;2020;47977.61845
BE24;2009;40571.90277
BE24;2010;42113.24638
BE24;2011;43223.61928
BE24;2012;45328.89151
BE24;2013;46896.82729
BE24;2014;48049.80265
BE24;2015;49697.18912
BE24;2016;52817.70051
BE24;2017;54828.55494
BE24;2018;56967.48506
BE24;2019;58845.08087
BE24;2020;57358.71703
BE25;2009;35515.11489
BE25;2010;37566.93001
BE25;2011;38781.19175
BE25;2012;40346.3592
BE25;2013;42058.26574
BE25;2014;43432.02941
BE25;2015;44452.76212
BE25;2016;47190.63314
