nuts2;year;edu_index;edu_index_im
AT11;2009;0.763;0.763
AT11;2010;0.779;0.779
AT11;2011;0.779;0.779
AT11;2012;0.779;0.779
AT11;2013;0.777;0.777
AT11;2014;0.795;0.795
AT11;2015;0.812;0.812
AT11;2016;0.811;0.811
AT11;2017;0.816;0.816
AT11;2018;0.817;0.817
AT11;2019;0.813;0.813
AT11;2020;NA;0.830280147
AT12;2009;0.752;0.752
AT12;2010;0.77;0.77
AT12;2011;0.767;0.767
AT12;2012;0.768;0.768
AT12;2013;0.764;0.764
AT12;2014;0.787;0.787
AT12;2015;0.799;0.799
AT12;2016;0.799;0.799
AT12;2017;0.805;0.805
AT12;2018;0.807;0.807
AT12;2019;0.8;0.8
AT12;2020;NA;0.811267597
AT13;2009;0.901;0.901
AT13;2010;0.907;0.907
AT13;2011;0.905;0.905
AT13;2012;0.905;0.905
AT13;2013;0.913;0.913
AT13;2014;0.928;0.928
AT13;2015;0.933;0.933
AT13;2016;0.933;0.933
AT13;2017;0.936;0.936
AT13;2018;0.935;0.935
AT13;2019;0.93;0.93
AT13;2020;NA;0.947668653
AT21;2009;0.802;0.802
AT21;2010;0.819;0.819
AT21;2011;0.819;0.819
AT21;2012;0.822;0.822
AT21;2013;0.815;0.815
AT21;2014;0.837;0.837
AT21;2015;0.842;0.842
AT21;2016;0.847;0.847
AT21;2017;0.847;0.847
AT21;2018;0.849;0.849
AT21;2019;0.841;0.841
AT21;2020;NA;0.865126082
AT22;2009;0.82;0.82
AT22;2010;0.837;0.837
AT22;2011;0.841;0.841
AT22;2012;0.844;0.844
AT22;2013;0.836;0.836
AT22;2014;0.851;0.851
AT22;2015;0.862;0.862
AT22;2016;0.864;0.864
AT22;2017;0.866;0.866
AT22;2018;0.868;0.868
AT22;2019;0.867;0.867
AT22;2020;NA;0.87735675
AT31;2009;0.783;0.783
AT31;2010;0.804;0.804
AT31;2011;0.804;0.804
AT31;2012;0.807;0.807
AT31;2013;0.801;0.801
AT31;2014;0.818;0.818
AT31;2015;0.827;0.827
AT31;2016;0.833;0.833
AT31;2017;0.834;0.834
AT31;2018;0.832;0.832
AT31;2019;0.834;0.834
AT31;2020;NA;0.84831978
