sender;receiver;dist
BE32;BE31;46400.73372
BE33;BE31;83872.50142
BE34;BE31;103629.8013
CH05;BE31;550220.1955
CH06;BE31;499697.1059
CH07;BE31;578607.5762
CY00;BE31;2879710.93
CZ01;BE31;703209.9481
CZ02;BE31;710571.6801
CZ03;BE31;680868.1379
CZ04;BE31;624557.1331
CZ05;BE31;794525.4479
CZ06;BE31;846210.947
CZ07;BE31;923217.3785
CZ08;BE31;959824.3483
DE11;BE31;405290.9807
DE12;BE31;346116.6554
DE13;BE31;395965.3633
DE14;BE31;454402.925
DE21;BE31;590831.0749
DE22;BE31;629201.8727
DE23;BE31;556197.6337
DE24;BE31;485923.654
DE25;BE31;466394.167
DE26;BE31;385846.5101
DE27;BE31;512531.106
DE30;BE31;641955.3801
DE40;BE31;641212.4094
DE50;BE31;395681.5641
DE60;BE31;489251.1374
DE71;BE31;304662.6301
DE72;BE31;293433.3919
DE73;BE31;344561.8817
DE80;BE31;639696.0151
DE91;BE31;428383.5328
DE92;BE31;382572.0978
DE93;BE31;453351.8797
DE94;BE31;331026.1741
DEA1;BE31;164223.6026
DEA2;BE31;157280.6022
DEA3;BE31;241972.0214
DEA4;BE31;324767.0962
DEA5;BE31;250634.1843
FRG0;BE31;526773.5191
FRH0;BE31;601489.4623
PL21;BE31;1116948.345
PL22;BE31;1021167.28
PL41;BE31;896226.5663
PL42;BE31;814340.5333
PL43;BE31;763787.7978
PL51;BE31;830096.7433
PL52;BE31;938725.1597
PL61;BE31;991775.593
PL62;BE31;1157396.848
AT11;BE31;935150.7124
AT12;BE31;849086.7798
AT13;BE31;895763.1781
AT21;BE31;807006.5242
AT22;BE31;847263.5142
AT31;BE31;732073.8681
AT32;BE31;716008.0978
AT33;BE31;618826.8713
AT34;BE31;542901.971
BE10;BE31;25506.46952
BE21;BE31;63535.51787
BE22;BE31;67291.15697
BE23;BE31;68502.61938
BE24;BE31;23029.2311
BE25;BE31;114200.221
ITH4;BE31;801200.1362
ITH5;BE31;836321.7332
ITI1;BE31;938923.7028
ITI2;BE31;1043697.403
BE35;BE31;50040.53445
BG31;BE31;1662379.865
BG32;BE31;1805920.741
BG33;BE31;1897855.274
BG34;BE31;1901434.251
BG41;BE31;1701685.025
BG42;BE31;1837791.325
CH01;BE31;519154.5321
CH02;BE31;465150.2045
CH03;BE31;441045.5243
CH04;BE31;467616.6108
PL81;BE31;1279511.861
PL82;BE31;1247550.78
PL84;BE31;1286365.158
PL91;BE31;1158669.555
PL92;BE31;1155971.592
PT11;BE31;1391340.77
PT15;BE31;1799261.916
PT16;BE31;1524609.881
PT17;BE31;1702232.238
PT18;BE31;1677730.339
PT20;BE31;2921129.054
PT30;BE31;2843824.524
EL65;BE31;2044319.449
ES11;BE31;1294571.466
ES12;BE31;1143935.31
ES13;BE31;1060380.137
ES21;BE31;1005667.421
ES22;BE31;1002840.84
ES23;BE31;1080606.557
ES24;BE31;1096924.894
ES30;BE31;1301015.166
ES41;BE31;1224317.905
ES42;BE31;1369732.489
ES43;BE31;1527570.541
ES51;BE31;1012388.26
ES52;BE31;1315775.596
ES53;BE31;1236866.381
ES61;BE31;1637949.953
ES62;BE31;1487072.368
ES63;BE31;1824508.578
ES64;BE31;1813164.844
ES70;BE31;3056839.872
FI19;BE31;1735166.804
FI1B;BE31;1651469.282
FI1C;BE31;1699920.481
FI1D;BE31;2090558.471
FI20;BE31;1435413.292
FR10;BE31;261314.4733
FRB0;BE31;411563.2972
FRC1;BE31;380979.0159
FRC2;BE31;401915.8291
FRD1;BE31;412051.331
FRD2;BE31;290948.7356
FRE1;BE31;131737.105
FRE2;BE31;171092.2377
FRF1;BE31;332055.7503
FRF2;BE31;212405.736
FRF3;BE31;242450.5558
UKK2;BE31;510773.396
UKK3;BE31;662131.2255
UKK4;BE31;589863.2036
UKL1;BE31;622036.2621
FRI1;BE31;787020.6962
FRI2;BE31;584781.4941
FRI3;BE31;606875.9433
FRJ1;BE31;791501.9137
FRJ2;BE31;801849.9186
FRK1;BE31;566443.6679
FRK2;BE31;582974.0699
FRL0;BE31;753045.3992
FRM0;BE31;1009982.438
FRY1;BE31;6944349.314
FRY2;BE31;7038389.217
FRY3;BE31;7457433.284
FRY4;BE31;9409612.601
FRY5;BE31;8084827.54
HR03;BE31;1080535.573
HR02;BE31;1108175.568
HU11;BE31;1112441.667
HU12;BE31;1130604.32
HU21;BE31;1055195.298
HU22;BE31;982717.5266
HU23;BE31;1097011.373
HU31;BE31;1186487.421
HU32;BE31;1260553.823
HU33;BE31;1222308.507
IE04;BE31;962436.9335
IE05;BE31;916250.0021
IE06;BE31;848019.3323
DK03;BE31;603654.0922
DK04;BE31;698007.7715
DK05;BE31;781741.3203
EE00;BE31;1620809.144
EL30;BE31;2054062.494
EL41;BE31;2265314.394
EL42;BE31;2460681.244
EL43;BE31;2365609.069
EL51;BE31;1897670.687
EL52;BE31;1789057.715
EL53;BE31;1739163.167
EL54;BE31;1760725.067
EL61;BE31;1844605.305
EL62;BE31;1866425.982
EL63;BE31;1962975.259
EL64;BE31;1943879.899
ITI3;BE31;1039601.64
ITI4;BE31;1146486.99
LT01;BE31;1459803.698
LT02;BE31;1377705.558
LU00;BE31;146149.9958
LV00;BE31;1494104.541
MT00;BE31;1821807.143
NL11;BE31;319423.8873
NL12;BE31;279186.915
NL13;BE31;282041.789
NL21;BE31;236498.0696
NL22;BE31;182328.2615
NL23;BE31;217669.763
NL31;BE31;163867.4447
NL32;BE31;223306.5869
NL33;BE31;141347.8562
NL34;BE31;107596.0249
NL41;BE31;106763.0386
NL42;BE31;111395.8322
IS00;BE31;2076626.134
ITC1;BE31;671045.017
ITC2;BE31;587550.2503
ITC3;BE31;774329.9276
ITC4;BE31;681967.0732
ITF1;BE31;1175496.227
ITF2;BE31;1258782.775
ITF3;BE31;1343843.248
ITF4;BE31;1419140.027
ITF5;BE31;1436227.543
ITF6;BE31;1578487.171
ITG1;BE31;1640400.783
ITG2;BE31;1229618.201
ITH1;BE31;667997.67
ITH2;BE31;698593.4376
ITH3;BE31;776755.2459
UKC1;BE31;614515.7547
UKC2;BE31;672759.1451
UKD1;BE31;664903.9145
UKD3;BE31;565749.1859
